scenario_id,description,attack_type,attack_template,time_series_type,magnitude_category,duration_category,magnitude_value,duration_value,attack_start,attack_end,attack_duration,detected,correct_detection,detected_start,detected_end,detection_score,max_deviation,avg_deviation,tp,tn,fp,fn,precision,recall,f1,fpr,accuracy
38,MEDIUM SCALING: 30% for 3h,SCALING,SCALING,COLLECTIVE,medium,short,30,3,2320,2322,3,True,True,560,5989,5.0723971982378515,0.21358293879635726,0.18289246603301068,3,570,5427,0,0.0005524861878453039,1.0,0.0011043622308117063,0.904952476238119,0.0955
39,MEDIUM SCALING: 30% for 6h,SCALING,SCALING,COLLECTIVE,medium,medium,30,6,2380,2385,6,True,True,560,5989,5.075097973296512,0.1914325018807128,0.09439877057282912,6,570,5424,0,0.0011049723756906078,1.0,0.002207505518763797,0.9049049049049049,0.096
40,MEDIUM SCALING: 30% for 12h,SCALING,SCALING,COLLECTIVE,medium,medium,30,12,2440,2451,12,True,True,560,5989,5.080306442154819,0.25263703280371685,0.13957796100377645,12,570,5418,0,0.0022099447513812156,1.0,0.004410143329658214,0.9048096192384769,0.097
41,MEDIUM SCALING: 30% for 24h,SCALING,SCALING,COLLECTIVE,medium,long,30,24,2500,2523,24,True,False,2500,2500,7.2654468921202335,0.5331734503603764,0.12475886565091855,1,5976,0,23,1.0,0.041666666666666664,0.07999999999999999,0.0,0.9961666666666666
42,MEDIUM SCALING: 30% for 36h,SCALING,SCALING,COLLECTIVE,medium,long,30,36,2560,2595,36,True,True,560,5989,5.065192318643904,0.2922215903465679,0.09543524393486673,36,570,5394,0,0.0066298342541436465,1.0,0.013172338090010978,0.9044265593561368,0.101
43,MEDIUM SCALING: 50% for 1h,SCALING,SCALING,COLLECTIVE,medium,short,50,1,2620,2620,1,True,True,560,5989,5.056452397204997,0.33489180087849824,0.33489180087849824,1,570,5429,0,0.00018416206261510129,1.0,0.00036825630638924695,0.904984164027338,0.09516666666666666
44,MEDIUM SCALING: 50% for 3h,SCALING,SCALING,COLLECTIVE,medium,short,50,3,2680,2682,3,True,True,560,5989,5.0862023647369785,0.3221349498827075,0.2822502249944718,3,570,5427,0,0.0005524861878453039,1.0,0.0011043622308117063,0.904952476238119,0.0955
45,MEDIUM SCALING: 50% for 6h,SCALING,SCALING,COLLECTIVE,medium,medium,50,6,2740,2745,6,True,True,560,5989,5.07692453245398,0.47103199640322857,0.28338711845189374,6,570,5424,0,0.0011049723756906078,1.0,0.002207505518763797,0.9049049049049049,0.096
46,MEDIUM SCALING: 50% for 12h,SCALING,SCALING,COLLECTIVE,medium,medium,50,12,2800,2811,12,True,False,2808,2810,6.578257859368605,0.6578257859368606,0.2657158375249517,3,5988,0,9,1.0,0.25,0.4,0.0,0.9985
47,MEDIUM SCALING: 50% for 24h,SCALING,SCALING,COLLECTIVE,medium,long,50,24,2860,2883,24,True,False,2880,2883,7.621342403928065,0.7621342403928064,0.16175620302652077,4,5976,0,20,1.0,0.16666666666666666,0.2857142857142857,0.0,0.9966666666666667
48,MEDIUM SCALING: 50% for 36h,SCALING,SCALING,COLLECTIVE,medium,long,50,36,2920,2955,36,True,True,560,5989,4.682663028766111,0.42779857374350194,0.09620271673429033,36,570,5394,0,0.0066298342541436465,1.0,0.013172338090010978,0.9044265593561368,0.101
49,MEDIUM SCALING: 100% for 1h,SCALING,SCALING,COLLECTIVE,medium,short,100,1,2980,2980,1,True,True,2980,2980,5.83157549838724,0.583157549838724,0.583157549838724,1,5999,0,0,1.0,1.0,1.0,0.0,1.0
50,MEDIUM SCALING: 100% for 3h,SCALING,SCALING,COLLECTIVE,medium,short,100,3,3040,3042,3,True,True,3040,3042,6.020599913279624,0.7310328374601185,0.6600639410266026,3,5997,0,0,1.0,1.0,1.0,0.0,1.0
51,MEDIUM SCALING: 100% for 6h,SCALING,SCALING,COLLECTIVE,medium,medium,100,6,3100,3105,6,True,True,3100,3105,7.224719895935548,0.6076198902268282,0.5637445722621992,6,5994,0,0,1.0,1.0,1.0,0.0,1.0
52,MEDIUM SCALING: 100% for 12h,SCALING,SCALING,COLLECTIVE,medium,medium,100,12,3160,3171,12,True,True,3160,3171,9.030899869919436,1.0578192670270004,0.5839530985363256,12,5988,0,0,1.0,1.0,1.0,0.0,1.0
53,MEDIUM SCALING: 100% for 24h,SCALING,SCALING,COLLECTIVE,medium,long,100,24,3220,3243,24,True,False,3240,3243,8.428839878591473,0.7692116469565546,0.20516297393996216,4,5976,0,20,1.0,0.16666666666666666,0.2857142857142857,0.0,0.9966666666666667
54,MEDIUM SCALING: 100% for 36h,SCALING,SCALING,COLLECTIVE,medium,long,100,36,3280,3315,36,True,True,3280,3315,7.8025336044625675,0.7802533604462567,0.2104399711532274,36,5964,0,0,1.0,1.0,1.0,0.0,1.0
55,STRONG SCALING: 200% for 1h,SCALING,SCALING,COLLECTIVE,strong,short,200,1,3340,3340,1,True,True,3340,3340,15.112790515905402,1.5112790515905403,1.5112790515905403,1,5999,0,0,1.0,1.0,1.0,0.0,1.0
56,STRONG SCALING: 200% for 3h,SCALING,SCALING,COLLECTIVE,strong,short,200,3,3400,3402,3,True,True,3400,3402,5.719569917615643,1.2385275989484033,1.0925868931697227,3,5997,0,0,1.0,1.0,1.0,0.0,1.0
57,STRONG SCALING: 200% for 6h,SCALING,SCALING,COLLECTIVE,strong,medium,200,6,3460,3465,6,True,True,3460,3465,9.083174296192611,0.9083174296192611,0.6410757059219439,6,5994,0,0,1.0,1.0,1.0,0.0,1.0
58,STRONG SCALING: 200% for 12h,SCALING,SCALING,COLLECTIVE,strong,medium,200,12,3520,3531,12,True,True,3520,3531,14.449439791871097,1.7093373643915108,0.9260812872816252,12,5988,0,0,1.0,1.0,1.0,0.0,1.0
59,STRONG SCALING: 200% for 24h,SCALING,SCALING,COLLECTIVE,strong,long,200,24,3580,3603,24,True,True,3580,3603,14.449439791871097,1.5142809729434732,0.7853434770704082,24,5976,0,0,1.0,1.0,1.0,0.0,1.0
60,STRONG SCALING: 200% for 36h,SCALING,SCALING,COLLECTIVE,strong,long,200,36,3640,3675,36,True,True,3640,3675,10.423226976786804,1.6857172708044885,0.6646996752705732,36,5964,0,0,1.0,1.0,1.0,0.0,1.0
61,STRONG SCALING: 400% for 1h,SCALING,SCALING,COLLECTIVE,strong,short,400,1,3700,3700,1,True,True,3700,3700,28.321336739332132,2.832133673933213,2.832133673933213,1,5999,0,0,1.0,1.0,1.0,0.0,1.0
62,STRONG SCALING: 400% for 3h,SCALING,SCALING,COLLECTIVE,strong,short,400,3,3760,3762,3,True,True,3760,3764,6.020599913279624,1.7630230733605203,1.6324083627271169,3,5995,2,0,0.6,1.0,0.7499999999999999,0.00033350008337502084,0.9996666666666667
63,STRONG SCALING: 400% for 6h,SCALING,SCALING,COLLECTIVE,strong,medium,400,6,3820,3825,6,True,True,3820,3825,7.224719895935548,1.6550429009686178,1.4546003917644708,6,5994,0,0,1.0,1.0,1.0,0.0,1.0
64,STRONG SCALING: 400% for 12h,SCALING,SCALING,COLLECTIVE,strong,medium,400,12,3880,3891,12,True,True,3880,3891,14.449439791871097,2.535957844631018,1.7572217557292678,12,5988,0,0,1.0,1.0,1.0,0.0,1.0
65,STRONG SCALING: 400% for 24h,SCALING,SCALING,COLLECTIVE,strong,long,400,24,3940,3963,24,True,True,3940,3967,14.449439791871097,2.3339421118040993,1.4537378282158804,24,5972,4,0,0.8571428571428571,1.0,0.923076923076923,0.0006693440428380187,0.9993333333333333
66,STRONG SCALING: 400% for 36h,SCALING,SCALING,COLLECTIVE,strong,long,400,36,4000,4035,36,True,True,3990,4035,13.081248587892953,2.455611540505022,1.8120710333172723,36,5954,10,0,0.782608695652174,1.0,0.878048780487805,0.001676727028839705,0.9983333333333333
67,STRONG SCALING: 900% for 1h,SCALING,SCALING,COLLECTIVE,strong,short,900,1,4060,4060,1,True,True,4060,4060,7.224719895935548,6.505853439492115,6.505853439492115,1,5999,0,0,1.0,1.0,1.0,0.0,1.0
68,STRONG SCALING: 900% for 3h,SCALING,SCALING,COLLECTIVE,strong,short,900,3,4120,4122,3,True,True,4120,4125,7.224719895935548,4.5073614497495775,4.166034958757797,3,5994,3,0,0.5,1.0,0.6666666666666666,0.0005002501250625312,0.9995
69,STRONG SCALING: 900% for 6h,SCALING,SCALING,COLLECTIVE,strong,medium,900,6,4180,4185,6,True,True,4180,4185,7.224719895935548,5.048909632486961,4.407738351661646,6,5994,0,0,1.0,1.0,1.0,0.0,1.0
70,STRONG SCALING: 900% for 12h,SCALING,SCALING,COLLECTIVE,strong,medium,900,12,4240,4251,12,True,True,4240,4268,14.449439791871097,5.1164089919575675,4.484913871788717,12,5971,17,0,0.41379310344827586,1.0,0.5853658536585366,0.0028390113560454243,0.9971666666666666
71,STRONG SCALING: 900% for 24h,SCALING,SCALING,COLLECTIVE,strong,long,900,24,4300,4323,24,True,True,4300,4323,14.449439791871097,6.065205318165446,4.523817139027149,24,5976,0,0,1.0,1.0,1.0,0.0,1.0
72,STRONG SCALING: 900% for 36h,SCALING,SCALING,COLLECTIVE,strong,long,900,36,4360,4395,36,True,True,4360,4395,13.081248587892953,7.141340953843672,6.116074581567638,36,5964,0,0,1.0,1.0,1.0,0.0,1.0
73,RAMPING-I: 0→30% over 12h,RAMPING-TYPE1,RAMPING,COLLECTIVE,medium,medium,30,12,4420,4431,12,True,True,560,5989,5.076880908504308,0.20869222416252986,0.12762589205112473,12,570,5418,0,0.0022099447513812156,1.0,0.004410143329658214,0.9048096192384769,0.097
74,RAMPING-I: 0→30% over 18h,RAMPING-TYPE1,RAMPING,COLLECTIVE,medium,medium,30,18,4480,4497,18,True,True,560,5989,5.073290367996467,0.34872689533426837,0.14820596527755547,18,570,5412,0,0.0033149171270718232,1.0,0.0066079295154185015,0.9047141424272819,0.098
75,RAMPING-I: 0→30% over 24h,RAMPING-TYPE1,RAMPING,COLLECTIVE,medium,long,30,24,4540,4563,24,True,True,560,5989,5.067524470559757,0.3264796247811377,0.09211429870616002,24,570,5406,0,0.004419889502762431,1.0,0.0088008800880088,0.9046184738955824,0.099
76,RAMPING-I: 0→50% over 12h,RAMPING-TYPE1,RAMPING,COLLECTIVE,medium,medium,50,12,4600,4611,12,True,True,560,5989,5.055244270434218,0.2887201886565116,0.1529717063512775,12,570,5418,0,0.0022099447513812156,1.0,0.004410143329658214,0.9048096192384769,0.097
77,RAMPING-I: 0→50% over 18h,RAMPING-TYPE1,RAMPING,COLLECTIVE,medium,medium,50,18,4660,4677,18,True,True,560,5989,5.076542731493304,0.16579308278766347,0.07827794714588404,18,570,5412,0,0.0033149171270718232,1.0,0.0066079295154185015,0.9047141424272819,0.098
78,RAMPING-I: 0→50% over 24h,RAMPING-TYPE1,RAMPING,COLLECTIVE,medium,long,50,24,4720,4743,24,True,True,560,5989,5.074316987445888,0.29848168616929893,0.11714521850864494,24,570,5406,0,0.004419889502762431,1.0,0.0088008800880088,0.9046184738955824,0.099
79,RAMPING-I: 0→100% over 12h,RAMPING-TYPE1,RAMPING,COLLECTIVE,medium,medium,100,12,4780,4791,12,True,True,4788,4791,4.816479930623699,0.6314389629909127,0.34006248287687985,4,5988,0,8,1.0,0.3333333333333333,0.5,0.0,0.9986666666666667
80,RAMPING-I: 0→100% over 18h,RAMPING-TYPE1,RAMPING,COLLECTIVE,medium,medium,100,18,4840,4857,18,True,True,4851,4857,7.826779887263511,0.7088729997627794,0.3650917500388152,7,5982,0,11,1.0,0.3888888888888889,0.56,0.0,0.9981666666666666
81,RAMPING-I: 0→100% over 24h,RAMPING-TYPE1,RAMPING,COLLECTIVE,medium,long,100,24,4900,4923,24,True,False,4920,4923,6.853002583365946,0.6853002583365946,0.17477352395657297,4,5976,0,20,1.0,0.16666666666666666,0.2857142857142857,0.0,0.9966666666666667
82,RAMPING-II: 0→30%→0 over 16h,RAMPING-TYPE2,RAMPING,COLLECTIVE,medium,medium,30,16,4960,4975,16,True,True,560,5989,5.081289433331243,0.322567581577613,0.10577190753984395,16,570,5414,0,0.0029465930018416206,1.0,0.005875872199779655,0.9047459893048129,0.09766666666666667
83,RAMPING-II: 0→30%→0 over 24h,RAMPING-TYPE2,RAMPING,COLLECTIVE,medium,medium,30,24,5020,5043,24,True,True,560,5989,5.0801588937164635,0.23095940382609514,0.10816686376354827,24,570,5406,0,0.004419889502762431,1.0,0.0088008800880088,0.9046184738955824,0.099
84,RAMPING-II: 0→30%→0 over 36h,RAMPING-TYPE2,RAMPING,COLLECTIVE,medium,long,30,36,5080,5115,36,True,True,560,5989,5.074925919803886,0.11542859032941055,0.05480575838167359,36,570,5394,0,0.0066298342541436465,1.0,0.013172338090010978,0.9044265593561368,0.101
85,RAMPING-II: 0→50%→0 over 16h,RAMPING-TYPE2,RAMPING,COLLECTIVE,medium,medium,50,16,5140,5155,16,True,True,560,5989,5.075830577444667,0.3159258365636535,0.15668456417455956,16,570,5414,0,0.0029465930018416206,1.0,0.005875872199779655,0.9047459893048129,0.09766666666666667
