"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20220516_20220530.csv"
"C","Report for: 05/16/2022 - 05/30/2022"
"C","Report generated: 10/02/2025 11:08:47 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","05/16/2022","01",11082.0
"D","05/16/2022","02",10604.6
"D","05/16/2022","03",10305.08
"D","05/16/2022","04",10191.71
"D","05/16/2022","05",10402.57
"D","05/16/2022","06",11050.22
"D","05/16/2022","07",11914.28
"D","05/16/2022","08",12522.92
"D","05/16/2022","09",12557.43
"D","05/16/2022","10",12329.49
"D","05/16/2022","11",12349.76
"D","05/16/2022","12",12725.94
"D","05/16/2022","13",13382.43
"D","05/16/2022","14",13906.67
"D","05/16/2022","15",14097.3
"D","05/16/2022","16",14315.24
"D","05/16/2022","17",15010.24
"D","05/16/2022","18",15631.15
"D","05/16/2022","19",15660.21
"D","05/16/2022","20",15309.57
"D","05/16/2022","21",14974.92
"D","05/16/2022","22",14034.64
"D","05/16/2022","23",12767.54
"D","05/16/2022","24",11647.83
"D","05/17/2022","01",11106.95
"D","05/17/2022","02",10555.68
"D","05/17/2022","03",10123.77
"D","05/17/2022","04",9939.9
"D","05/17/2022","05",10065.6
"D","05/17/2022","06",10561.82
"D","05/17/2022","07",11286.64
"D","05/17/2022","08",11683.6
"D","05/17/2022","09",11263.12
"D","05/17/2022","10",10758.64
"D","05/17/2022","11",10716.49
"D","05/17/2022","12",11121.35
"D","05/17/2022","13",11823.15
"D","05/17/2022","14",11973.58
"D","05/17/2022","15",11821.26
"D","05/17/2022","16",11986.83
"D","05/17/2022","17",12440.44
"D","05/17/2022","18",13094.8
"D","05/17/2022","19",13564.82
"D","05/17/2022","20",13637.01
"D","05/17/2022","21",13571.12
"D","05/17/2022","22",12801.34
"D","05/17/2022","23",11663.05
"D","05/17/2022","24",10606.5
"D","05/18/2022","01",9884.22
"D","05/18/2022","02",9439.17
"D","05/18/2022","03",9486.23
"D","05/18/2022","04",9424.13
"D","05/18/2022","05",9657.43
"D","05/18/2022","06",10038.06
"D","05/18/2022","07",10950.7
"D","05/18/2022","08",11255.01
"D","05/18/2022","09",10686.92
"D","05/18/2022","10",10033.18
"D","05/18/2022","11",9962.36
"D","05/18/2022","12",9909.9
"D","05/18/2022","13",9924.58
"D","05/18/2022","14",9904.61
"D","05/18/2022","15",10091.72
"D","05/18/2022","16",10580.17
"D","05/18/2022","17",11456.62
"D","05/18/2022","18",12611.67
"D","05/18/2022","19",13159.83
"D","05/18/2022","20",13305.96
"D","05/18/2022","21",13370.43
"D","05/18/2022","22",12643.05
"D","05/18/2022","23",11535.34
"D","05/18/2022","24",10528.46
"D","05/19/2022","01",10140.52
"D","05/19/2022","02",9746.17
"D","05/19/2022","03",9541.58
"D","05/19/2022","04",9489.2
"D","05/19/2022","05",9714.1
"D","05/19/2022","06",10305.96
"D","05/19/2022","07",11230.1
"D","05/19/2022","08",12200.24
"D","05/19/2022","09",12670.48
"D","05/19/2022","10",12959.86
"D","05/19/2022","11",13117.8
"D","05/19/2022","12",13199.0
"D","05/19/2022","13",13205.59
"D","05/19/2022","14",13116.64
"D","05/19/2022","15",12934.0
"D","05/19/2022","16",12897.92
"D","05/19/2022","17",13058.87
"D","05/19/2022","18",13351.56
"D","05/19/2022","19",13346.18
"D","05/19/2022","20",13279.92
"D","05/19/2022","21",13191.37
"D","05/19/2022","22",12492.34
"D","05/19/2022","23",11484.05
"D","05/19/2022","24",10783.63
"D","05/20/2022","01",10160.5
"D","05/20/2022","02",9734.06
"D","05/20/2022","03",9520.94
"D","05/20/2022","04",9462.32
"D","05/20/2022","05",9693.45
"D","05/20/2022","06",10116.86
"D","05/20/2022","07",11033.51
"D","05/20/2022","08",11728.57
"D","05/20/2022","09",11905.32
"D","05/20/2022","10",11746.27
"D","05/20/2022","11",11047.14
"D","05/20/2022","12",10582.04
"D","05/20/2022","13",10380.32
"D","05/20/2022","14",10531.73
"D","05/20/2022","15",10740.72
"D","05/20/2022","16",11183.97
"D","05/20/2022","17",11823.52
"D","05/20/2022","18",12645.45
"D","05/20/2022","19",13104.81
"D","05/20/2022","20",13254.02
"D","05/20/2022","21",13321.03
"D","05/20/2022","22",12787.88
"D","05/20/2022","23",12111.02
"D","05/20/2022","24",11231.32
"D","05/21/2022","01",11012.6
"D","05/21/2022","02",10592.15
"D","05/21/2022","03",10612.18
"D","05/21/2022","04",10516.94
"D","05/21/2022","05",10573.14
"D","05/21/2022","06",10513.84
"D","05/21/2022","07",10917.75
"D","05/21/2022","08",11546.62
"D","05/21/2022","09",11902.44
"D","05/21/2022","10",12075.64
"D","05/21/2022","11",11502.34
"D","05/21/2022","12",10964.39
"D","05/21/2022","13",10760.18
"D","05/21/2022","14",11275.52
"D","05/21/2022","15",12145.79
"D","05/21/2022","16",13267.95
"D","05/21/2022","17",14499.32
"D","05/21/2022","18",15543.65
"D","05/21/2022","19",16032.8
"D","05/21/2022","20",15873.15
"D","05/21/2022","21",15619.81
"D","05/21/2022","22",14899.13
"D","05/21/2022","23",13826.1
"D","05/21/2022","24",12958.13
"D","05/22/2022","01",12072.63
"D","05/22/2022","02",11728.32
"D","05/22/2022","03",11585.76
"D","05/22/2022","04",11273.54
"D","05/22/2022","05",11132.22
"D","05/22/2022","06",11062.18
"D","05/22/2022","07",11189.7
"D","05/22/2022","08",11519.06
"D","05/22/2022","09",11328.11
"D","05/22/2022","10",11925.9
"D","05/22/2022","11",12828.12
"D","05/22/2022","12",13755.29
"D","05/22/2022","13",14592.8
"D","05/22/2022","14",14982.33
"D","05/22/2022","15",15460.33
"D","05/22/2022","16",16280.17
"D","05/22/2022","17",17362.97
"D","05/22/2022","18",18285.75
"D","05/22/2022","19",18556.15
"D","05/22/2022","20",18267.98
"D","05/22/2022","21",17778.05
"D","05/22/2022","22",16581.54
"D","05/22/2022","23",14986.93
"D","05/22/2022","24",13569.25
"D","05/23/2022","01",12501.0
"D","05/23/2022","02",11797.76
"D","05/23/2022","03",11576.87
"D","05/23/2022","04",11223.18
"D","05/23/2022","05",11181.92
"D","05/23/2022","06",11551.34
"D","05/23/2022","07",11945.19
"D","05/23/2022","08",12327.28
"D","05/23/2022","09",12097.96
"D","05/23/2022","10",11659.38
"D","05/23/2022","11",11296.17
"D","05/23/2022","12",11495.78
"D","05/23/2022","13",11490.66
"D","05/23/2022","14",11461.73
"D","05/23/2022","15",11566.3
"D","05/23/2022","16",12131.0
"D","05/23/2022","17",13085.03
"D","05/23/2022","18",13886.65
"D","05/23/2022","19",14243.66
