"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20231201_20231215.csv"
"C","Report for: 12/01/2023 - 12/15/2023"
"C","Report generated: 10/02/2025 10:27:30 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","12/01/2023","01",11910.71
"D","12/01/2023","02",11626.46
"D","12/01/2023","03",11440.68
"D","12/01/2023","04",11408.85
"D","12/01/2023","05",11721.68
"D","12/01/2023","06",12309.29
"D","12/01/2023","07",13443.23
"D","12/01/2023","08",14097.86
"D","12/01/2023","09",13429.02
"D","12/01/2023","10",12491.15
"D","12/01/2023","11",12295.26
"D","12/01/2023","12",12494.86
"D","12/01/2023","13",12893.91
"D","12/01/2023","14",13467.94
"D","12/01/2023","15",13788.23
"D","12/01/2023","16",14268.26
"D","12/01/2023","17",15021.01
"D","12/01/2023","18",15273.39
"D","12/01/2023","19",14945.11
"D","12/01/2023","20",14483.06
"D","12/01/2023","21",13933.45
"D","12/01/2023","22",13180.13
"D","12/01/2023","23",12284.55
"D","12/01/2023","24",11403.67
"D","12/02/2023","01",10836.11
"D","12/02/2023","02",10601.77
"D","12/02/2023","03",10339.85
"D","12/02/2023","04",10223.97
"D","12/02/2023","05",10307.02
"D","12/02/2023","06",10325.8
"D","12/02/2023","07",10959.07
"D","12/02/2023","08",11637.46
"D","12/02/2023","09",12295.43
"D","12/02/2023","10",12724.3
"D","12/02/2023","11",12917.77
"D","12/02/2023","12",12912.87
"D","12/02/2023","13",12636.76
"D","12/02/2023","14",12377.09
"D","12/02/2023","15",12476.78
"D","12/02/2023","16",12946.61
"D","12/02/2023","17",13865.75
"D","12/02/2023","18",14342.36
"D","12/02/2023","19",14113.63
"D","12/02/2023","20",13735.94
"D","12/02/2023","21",13309.63
"D","12/02/2023","22",12728.57
"D","12/02/2023","23",11953.73
"D","12/02/2023","24",11175.7
"D","12/03/2023","01",10565.57
"D","12/03/2023","02",10172.95
"D","12/03/2023","03",9948.22
"D","12/03/2023","04",10198.05
"D","12/03/2023","05",10244.88
"D","12/03/2023","06",10495.37
"D","12/03/2023","07",11015.21
"D","12/03/2023","08",11708.48
"D","12/03/2023","09",12212.44
"D","12/03/2023","10",13250.03
"D","12/03/2023","11",13510.92
"D","12/03/2023","12",13832.64
"D","12/03/2023","13",14074.73
"D","12/03/2023","14",14151.54
"D","12/03/2023","15",14247.89
"D","12/03/2023","16",14444.75
"D","12/03/2023","17",15176.86
"D","12/03/2023","18",15581.47
"D","12/03/2023","19",15254.2
"D","12/03/2023","20",14751.79
"D","12/03/2023","21",14116.38
"D","12/03/2023","22",13243.86
"D","12/03/2023","23",12200.96
"D","12/03/2023","24",11342.32
"D","12/04/2023","01",11324.26
"D","12/04/2023","02",11000.15
"D","12/04/2023","03",10866.93
"D","12/04/2023","04",10877.67
"D","12/04/2023","05",11200.68
"D","12/04/2023","06",11607.44
"D","12/04/2023","07",13012.94
"D","12/04/2023","08",13934.06
"D","12/04/2023","09",13798.09
"D","12/04/2023","10",13162.96
"D","12/04/2023","11",12527.79
"D","12/04/2023","12",12234.32
"D","12/04/2023","13",12647.84
"D","12/04/2023","14",13303.6
"D","12/04/2023","15",13793.56
"D","12/04/2023","16",14344.8
"D","12/04/2023","17",15403.26
"D","12/04/2023","18",16069.36
"D","12/04/2023","19",15883.66
"D","12/04/2023","20",15398.58
"D","12/04/2023","21",14732.46
"D","12/04/2023","22",13864.39
"D","12/04/2023","23",12725.82
"D","12/04/2023","24",11802.71
"D","12/05/2023","01",11755.06
"D","12/05/2023","02",11463.47
"D","12/05/2023","03",11322.75
"D","12/05/2023","04",11348.04
"D","12/05/2023","05",11650.48
"D","12/05/2023","06",12078.86
"D","12/05/2023","07",13565.93
"D","12/05/2023","08",14438.02
"D","12/05/2023","09",14286.74
"D","12/05/2023","10",13857.34
"D","12/05/2023","11",13803.9
"D","12/05/2023","12",14106.78
"D","12/05/2023","13",14324.06
"D","12/05/2023","14",14719.34
"D","12/05/2023","15",14946.45
"D","12/05/2023","16",15342.15
"D","12/05/2023","17",16265.43
"D","12/05/2023","18",16851.54
"D","12/05/2023","19",16712.76
"D","12/05/2023","20",16328.28
"D","12/05/2023","21",15710.29
"D","12/05/2023","22",14807.14
"D","12/05/2023","23",13663.42
"D","12/05/2023","24",12700.84
"D","12/06/2023","01",12407.65
"D","12/06/2023","02",12321.6
"D","12/06/2023","03",12195.39
"D","12/06/2023","04",12230.45
"D","12/06/2023","05",12572.32
"D","12/06/2023","06",13265.87
"D","12/06/2023","07",14729.46
"D","12/06/2023","08",15360.64
"D","12/06/2023","09",15432.34
"D","12/06/2023","10",15029.68
"D","12/06/2023","11",14548.18
"D","12/06/2023","12",14192.26
"D","12/06/2023","13",14122.58
"D","12/06/2023","14",14489.26
"D","12/06/2023","15",14830.0
"D","12/06/2023","16",15499.95
"D","12/06/2023","17",16577.15
"D","12/06/2023","18",17167.24
"D","12/06/2023","19",17045.84
"D","12/06/2023","20",16785.42
"D","12/06/2023","21",16248.34
"D","12/06/2023","22",15425.43
"D","12/06/2023","23",14294.57
"D","12/06/2023","24",13328.78
"D","12/07/2023","01",12999.91
"D","12/07/2023","02",13048.43
"D","12/07/2023","03",12924.67
"D","12/07/2023","04",12979.39
"D","12/07/2023","05",13370.6
"D","12/07/2023","06",14009.29
"D","12/07/2023","07",15292.0
"D","12/07/2023","08",16086.86
"D","12/07/2023","09",15893.72
"D","12/07/2023","10",15322.42
"D","12/07/2023","11",14953.43
"D","12/07/2023","12",14935.36
"D","12/07/2023","13",15126.35
"D","12/07/2023","14",15464.02
"D","12/07/2023","15",15751.64
"D","12/07/2023","16",16170.98
"D","12/07/2023","17",17064.38
"D","12/07/2023","18",17537.71
"D","12/07/2023","19",17347.94
"D","12/07/2023","20",17084.07
"D","12/07/2023","21",16589.49
"D","12/07/2023","22",15781.83
"D","12/07/2023","23",14648.37
"D","12/07/2023","24",13634.59
"D","12/08/2023","01",12932.61
"D","12/08/2023","02",12505.06
"D","12/08/2023","03",12285.5
"D","12/08/2023","04",12267.81
"D","12/08/2023","05",12563.94
"D","12/08/2023","06",13424.57
"D","12/08/2023","07",14832.48
"D","12/08/2023","08",15634.72
"D","12/08/2023","09",15183.8
"D","12/08/2023","10",14196.61
"D","12/08/2023","11",13898.51
"D","12/08/2023","12",13279.32
"D","12/08/2023","13",12970.66
"D","12/08/2023","14",13274.5
"D","12/08/2023","15",14103.89
"D","12/08/2023","16",14706.54
"D","12/08/2023","17",15716.99
"D","12/08/2023","18",16342.87
"D","12/08/2023","19",16098.69
"D","12/08/2023","20",15665.57
"D","12/08/2023","21",15193.8
"D","12/08/2023","22",14512.26
"D","12/08/2023","23",13569.67
"D","12/08/2023","24",12650.36
"D","12/09/2023","01",11970.67
"D","12/09/2023","02",11512.42
"D","12/09/2023","03",11234.33
"D","12/09/2023","04",11134.19
"D","12/09/2023","05",11234.76
"D","12/09/2023","06",11607.52
"D","12/09/2023","07",12240.49
"D","12/09/2023","08",12874.37
"D","12/09/2023","09",12971.97
"D","12/09/2023","10",12501.64
"D","12/09/2023","11",12360.99
"D","12/09/2023","12",12397.08
"D","12/09/2023","13",12890.18
"D","12/09/2023","14",12768.89
"D","12/09/2023","15",13024.36
"D","12/09/2023","16",13426.81
"D","12/09/2023","17",14329.28
"D","12/09/2023","18",14733.75
"D","12/09/2023","19",14452.63
"D","12/09/2023","20",14029.52
"D","12/09/2023","21",13569.64
"D","12/09/2023","22",12970.41
"D","12/09/2023","23",12153.06
"D","12/09/2023","24",11342.69
"D","12/10/2023","01",10703.72
"D","12/10/2023","02",10259.08
"D","12/10/2023","03",10331.28
"D","12/10/2023","04",10229.58
"D","12/10/2023","05",10268.54
"D","12/10/2023","06",10497.01
"D","12/10/2023","07",10655.74
"D","12/10/2023","08",11234.14
"D","12/10/2023","09",11824.79
"D","12/10/2023","10",12258.64
"D","12/10/2023","11",12458.39
"D","12/10/2023","12",12457.65
"D","12/10/2023","13",12891.27
"D","12/10/2023","14",13283.29
"D","12/10/2023","15",13595.47
"D","12/10/2023","16",13949.34
"D","12/10/2023","17",14698.8
"D","12/10/2023","18",15063.84
"D","12/10/2023","19",14714.0
"D","12/10/2023","20",14159.89
"D","12/10/2023","21",13538.75
"D","12/10/2023","22",12662.2
"D","12/10/2023","23",11636.19
"D","12/10/2023","24",10837.29
"D","12/11/2023","01",10858.62
"D","12/11/2023","02",10499.66
"D","12/11/2023","03",10338.17
"D","12/11/2023","04",10330.47
"D","12/11/2023","05",10652.08
"D","12/11/2023","06",11238.98
"D","12/11/2023","07",12406.95
"D","12/11/2023","08",13607.53
"D","12/11/2023","09",14159.5
"D","12/11/2023","10",14406.17
"D","12/11/2023","11",14397.27
"D","12/11/2023","12",13996.14
"D","12/11/2023","13",13767.81
"D","12/11/2023","14",13602.23
"D","12/11/2023","15",13883.89
"D","12/11/2023","16",14628.97
"D","12/11/2023","17",15788.28
"D","12/11/2023","18",16553.06
"D","12/11/2023","19",16408.18
"D","12/11/2023","20",15975.02
"D","12/11/2023","21",15386.23
"D","12/11/2023","22",14502.41
"D","12/11/2023","23",13381.35
"D","12/11/2023","24",12408.43
"D","12/12/2023","01",12296.69
"D","12/12/2023","02",12055.2
"D","12/12/2023","03",11926.04
"D","12/12/2023","04",11958.35
"D","12/12/2023","05",12332.53
"D","12/12/2023","06",12956.1
"D","12/12/2023","07",14204.96
"D","12/12/2023","08",15061.63
