"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20230116_20230130.csv"
"C","Report for: 01/16/2023 - 01/30/2023"
"C","Report generated: 10/02/2025 10:47:15 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","01/16/2023","01",12741.96
"D","01/16/2023","02",12865.54
"D","01/16/2023","03",12971.22
"D","01/16/2023","04",13006.9
"D","01/16/2023","05",12937.41
"D","01/16/2023","06",13142.29
"D","01/16/2023","07",13942.92
"D","01/16/2023","08",14467.24
"D","01/16/2023","09",15035.77
"D","01/16/2023","10",15562.84
"D","01/16/2023","11",15639.0
"D","01/16/2023","12",15564.54
"D","01/16/2023","13",15560.8
"D","01/16/2023","14",15611.11
"D","01/16/2023","15",15662.78
"D","01/16/2023","16",15791.92
"D","01/16/2023","17",16384.72
"D","01/16/2023","18",17059.4
"D","01/16/2023","19",16748.8
"D","01/16/2023","20",16222.77
"D","01/16/2023","21",15528.61
"D","01/16/2023","22",14604.95
"D","01/16/2023","23",13554.21
"D","01/16/2023","24",12612.95
"D","01/17/2023","01",12540.96
"D","01/17/2023","02",12280.07
"D","01/17/2023","03",12375.99
"D","01/17/2023","04",12410.55
"D","01/17/2023","05",12493.3
"D","01/17/2023","06",13289.79
"D","01/17/2023","07",14291.7
"D","01/17/2023","08",15228.17
"D","01/17/2023","09",14969.94
"D","01/17/2023","10",14025.12
"D","01/17/2023","11",13163.69
"D","01/17/2023","12",12440.62
"D","01/17/2023","13",12245.95
"D","01/17/2023","14",12930.24
"D","01/17/2023","15",13804.42
"D","01/17/2023","16",14409.89
"D","01/17/2023","17",15210.99
"D","01/17/2023","18",15964.95
"D","01/17/2023","19",15784.85
"D","01/17/2023","20",15301.79
"D","01/17/2023","21",14622.51
"D","01/17/2023","22",13725.49
"D","01/17/2023","23",12662.72
"D","01/17/2023","24",11729.13
"D","01/18/2023","01",11627.35
"D","01/18/2023","02",11606.48
"D","01/18/2023","03",11491.46
"D","01/18/2023","04",11519.36
"D","01/18/2023","05",11824.07
"D","01/18/2023","06",12201.33
"D","01/18/2023","07",13425.78
"D","01/18/2023","08",14303.36
"D","01/18/2023","09",14352.32
"D","01/18/2023","10",14030.09
"D","01/18/2023","11",13716.02
"D","01/18/2023","12",13509.46
"D","01/18/2023","13",13144.22
"D","01/18/2023","14",12897.38
"D","01/18/2023","15",13427.07
"D","01/18/2023","16",13982.34
"D","01/18/2023","17",14609.89
"D","01/18/2023","18",15540.59
"D","01/18/2023","19",15484.42
"D","01/18/2023","20",15062.21
"D","01/18/2023","21",14701.43
"D","01/18/2023","22",13660.01
"D","01/18/2023","23",12599.42
"D","01/18/2023","24",12109.68
"D","01/19/2023","01",11997.13
"D","01/19/2023","02",11672.47
"D","01/19/2023","03",11743.07
"D","01/19/2023","04",11828.91
"D","01/19/2023","05",12121.07
"D","01/19/2023","06",12536.71
"D","01/19/2023","07",13554.3
"D","01/19/2023","08",14736.72
"D","01/19/2023","09",14648.02
"D","01/19/2023","10",14427.4
"D","01/19/2023","11",14387.54
"D","01/19/2023","12",14350.75
"D","01/19/2023","13",14537.78
"D","01/19/2023","14",14766.35
"D","01/19/2023","15",14872.84
"D","01/19/2023","16",15135.47
"D","01/19/2023","17",15741.72
"D","01/19/2023","18",16288.56
"D","01/19/2023","19",16086.67
"D","01/19/2023","20",15579.08
"D","01/19/2023","21",14959.28
"D","01/19/2023","22",14117.32
"D","01/19/2023","23",13116.48
"D","01/19/2023","24",12509.57
"D","01/20/2023","01",12213.79
"D","01/20/2023","02",11928.51
"D","01/20/2023","03",11710.3
"D","01/20/2023","04",11665.73
"D","01/20/2023","05",11975.93
"D","01/20/2023","06",12278.82
"D","01/20/2023","07",13433.09
"D","01/20/2023","08",14438.22
"D","01/20/2023","09",14894.62
"D","01/20/2023","10",15120.22
"D","01/20/2023","11",15360.38
"D","01/20/2023","12",15425.59
"D","01/20/2023","13",15290.1
"D","01/20/2023","14",15149.7
"D","01/20/2023","15",15039.85
"D","01/20/2023","16",15101.98
"D","01/20/2023","17",15623.71
"D","01/20/2023","18",16250.52
"D","01/20/2023","19",15946.69
"D","01/20/2023","20",15429.12
"D","01/20/2023","21",14822.48
"D","01/20/2023","22",14119.02
"D","01/20/2023","23",13257.86
"D","01/20/2023","24",12436.41
"D","01/21/2023","01",12136.35
"D","01/21/2023","02",11760.12
"D","01/21/2023","03",11532.77
"D","01/21/2023","04",11478.95
"D","01/21/2023","05",11600.59
"D","01/21/2023","06",11975.32
"D","01/21/2023","07",12628.8
"D","01/21/2023","08",13049.04
"D","01/21/2023","09",13739.58
"D","01/21/2023","10",14066.27
"D","01/21/2023","11",14155.52
"D","01/21/2023","12",14262.44
"D","01/21/2023","13",14323.2
"D","01/21/2023","14",14277.66
"D","01/21/2023","15",14324.72
"D","01/21/2023","16",14568.2
"D","01/21/2023","17",15111.11
"D","01/21/2023","18",15796.81
"D","01/21/2023","19",15589.14
"D","01/21/2023","20",15137.2
"D","01/21/2023","21",14676.15
"D","01/21/2023","22",14061.92
"D","01/21/2023","23",13325.54
"D","01/21/2023","24",12596.89
"D","01/22/2023","01",12035.16
"D","01/22/2023","02",11643.75
"D","01/22/2023","03",11637.13
"D","01/22/2023","04",11617.6
"D","01/22/2023","05",11660.13
"D","01/22/2023","06",11673.37
"D","01/22/2023","07",12173.28
"D","01/22/2023","08",12784.73
"D","01/22/2023","09",13473.17
"D","01/22/2023","10",14066.53
"D","01/22/2023","11",14342.54
"D","01/22/2023","12",14350.38
"D","01/22/2023","13",14304.14
"D","01/22/2023","14",14325.5
"D","01/22/2023","15",14483.45
"D","01/22/2023","16",14776.41
"D","01/22/2023","17",15413.05
"D","01/22/2023","18",16047.56
"D","01/22/2023","19",15859.74
"D","01/22/2023","20",15320.06
"D","01/22/2023","21",14768.45
"D","01/22/2023","22",13928.78
"D","01/22/2023","23",12979.87
"D","01/22/2023","24",12231.22
"D","01/23/2023","01",12392.61
"D","01/23/2023","02",12118.82
"D","01/23/2023","03",12199.59
"D","01/23/2023","04",12241.78
"D","01/23/2023","05",12532.46
"D","01/23/2023","06",12824.8
"D","01/23/2023","07",13783.82
"D","01/23/2023","08",14588.56
"D","01/23/2023","09",15044.19
"D","01/23/2023","10",15308.46
"D","01/23/2023","11",15580.26
"D","01/23/2023","12",15748.06
"D","01/23/2023","13",15842.37
"D","01/23/2023","14",15920.7
"D","01/23/2023","15",15886.62
"D","01/23/2023","16",15853.38
"D","01/23/2023","17",16284.28
