"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20231217_20231231.csv"
"C","Report for: 12/17/2023 - 12/31/2023"
"C","Report generated: 10/02/2025 10:27:18 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","12/17/2023","01",11292.75
"D","12/17/2023","02",11142.13
"D","12/17/2023","03",10937.75
"D","12/17/2023","04",10802.96
"D","12/17/2023","05",10831.33
"D","12/17/2023","06",11107.64
"D","12/17/2023","07",11619.83
"D","12/17/2023","08",11886.57
"D","12/17/2023","09",12338.78
"D","12/17/2023","10",12689.74
"D","12/17/2023","11",12890.82
"D","12/17/2023","12",13182.44
"D","12/17/2023","13",13567.7
"D","12/17/2023","14",13818.37
"D","12/17/2023","15",13902.76
"D","12/17/2023","16",14185.83
"D","12/17/2023","17",14995.88
"D","12/17/2023","18",15379.33
"D","12/17/2023","19",15118.51
"D","12/17/2023","20",14643.22
"D","12/17/2023","21",14016.09
"D","12/17/2023","22",13158.66
"D","12/17/2023","23",12065.26
"D","12/17/2023","24",11110.32
"D","12/18/2023","01",11028.36
"D","12/18/2023","02",10685.22
"D","12/18/2023","03",10485.17
"D","12/18/2023","04",10491.59
"D","12/18/2023","05",10787.67
"D","12/18/2023","06",11291.18
"D","12/18/2023","07",12434.68
"D","12/18/2023","08",13271.79
"D","12/18/2023","09",13739.18
"D","12/18/2023","10",13993.12
"D","12/18/2023","11",14012.22
"D","12/18/2023","12",13725.86
"D","12/18/2023","13",13533.1
"D","12/18/2023","14",13444.42
"D","12/18/2023","15",13483.88
"D","12/18/2023","16",13554.73
"D","12/18/2023","17",14129.58
"D","12/18/2023","18",14612.66
"D","12/18/2023","19",14413.2
"D","12/18/2023","20",14000.8
"D","12/18/2023","21",13485.59
"D","12/18/2023","22",12765.3
"D","12/18/2023","23",11759.51
"D","12/18/2023","24",10881.31
"D","12/19/2023","01",10866.47
"D","12/19/2023","02",10587.41
"D","12/19/2023","03",10462.49
"D","12/19/2023","04",10506.71
"D","12/19/2023","05",10783.21
"D","12/19/2023","06",11145.3
"D","12/19/2023","07",12505.17
"D","12/19/2023","08",13492.44
"D","12/19/2023","09",13438.12
"D","12/19/2023","10",12581.4
"D","12/19/2023","11",11899.26
"D","12/19/2023","12",11739.17
