"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20230201_20230215.csv"
"C","Report for: 02/01/2023 - 02/15/2023"
"C","Report generated: 10/02/2025 10:47:00 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","02/01/2023","01",13259.45
"D","02/01/2023","02",13422.96
"D","02/01/2023","03",13383.27
"D","02/01/2023","04",13428.26
"D","02/01/2023","05",13778.83
"D","02/01/2023","06",13907.79
"D","02/01/2023","07",15234.3
"D","02/01/2023","08",16169.44
"D","02/01/2023","09",15502.42
"D","02/01/2023","10",14150.39
"D","02/01/2023","11",13177.0
"D","02/01/2023","12",13238.49
"D","02/01/2023","13",13344.39
"D","02/01/2023","14",13338.94
"D","02/01/2023","15",13234.98
"D","02/01/2023","16",14093.52
"D","02/01/2023","17",15649.95
"D","02/01/2023","18",16916.61
"D","02/01/2023","19",17110.35
"D","02/01/2023","20",16821.66
"D","02/01/2023","21",16284.43
"D","02/01/2023","22",15448.74
"D","02/01/2023","23",14434.81
"D","02/01/2023","24",13561.09
"D","02/02/2023","01",13510.44
"D","02/02/2023","02",13352.75
"D","02/02/2023","03",13232.34
"D","02/02/2023","04",13269.25
"D","02/02/2023","05",13644.8
"D","02/02/2023","06",14203.84
"D","02/02/2023","07",15457.88
"D","02/02/2023","08",16289.34
"D","02/02/2023","09",15670.56
"D","02/02/2023","10",14606.39
"D","02/02/2023","11",13875.57
"D","02/02/2023","12",13756.9
"D","02/02/2023","13",13348.57
"D","02/02/2023","14",13290.22
"D","02/02/2023","15",13299.16
"D","02/02/2023","16",14077.08
"D","02/02/2023","17",15583.81
"D","02/02/2023","18",16813.19
"D","02/02/2023","19",16964.11
"D","02/02/2023","20",16610.27
"D","02/02/2023","21",16012.96
"D","02/02/2023","22",15214.44
"D","02/02/2023","23",14305.94
"D","02/02/2023","24",13507.43
"D","02/03/2023","01",13497.01
"D","02/03/2023","02",13224.91
"D","02/03/2023","03",13055.84
"D","02/03/2023","04",13083.35
"D","02/03/2023","05",12961.42
"D","02/03/2023","06",13429.85
"D","02/03/2023","07",15057.53
"D","02/03/2023","08",16050.94
"D","02/03/2023","09",15520.54
"D","02/03/2023","10",14525.26
"D","02/03/2023","11",13941.58
"D","02/03/2023","12",13748.19
"D","02/03/2023","13",13742.51
"D","02/03/2023","14",14039.06
"D","02/03/2023","15",14749.9
"D","02/03/2023","16",16209.42
"D","02/03/2023","17",17983.98
"D","02/03/2023","18",19266.69
"D","02/03/2023","19",19487.15
"D","02/03/2023","20",19252.42
