"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20211016_20211030.csv"
"C","Report for: 10/16/2021 - 10/30/2021"
"C","Report generated: 10/02/2025 11:14:16 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","10/16/2021","01",11115.06
"D","10/16/2021","02",10944.33
"D","10/16/2021","03",10655.27
"D","10/16/2021","04",10804.6
"D","10/16/2021","05",10477.48
"D","10/16/2021","06",10430.07
"D","10/16/2021","07",10938.85
"D","10/16/2021","08",11566.24
"D","10/16/2021","09",12103.0
"D","10/16/2021","10",12289.51
"D","10/16/2021","11",12287.44
"D","10/16/2021","12",12466.97
"D","10/16/2021","13",12617.24
"D","10/16/2021","14",12331.99
"D","10/16/2021","15",12328.25
"D","10/16/2021","16",12595.33
"D","10/16/2021","17",13164.54
"D","10/16/2021","18",13802.19
"D","10/16/2021","19",14258.95
"D","10/16/2021","20",14016.66
"D","10/16/2021","21",13459.72
"D","10/16/2021","22",12815.71
"D","10/16/2021","23",11984.47
"D","10/16/2021","24",11089.22
"D","10/17/2021","01",10541.71
"D","10/17/2021","02",10028.43
"D","10/17/2021","03",9672.59
"D","10/17/2021","04",9466.96
"D","10/17/2021","05",9397.49
"D","10/17/2021","06",9502.05
"D","10/17/2021","07",9830.05
"D","10/17/2021","08",10219.34
"D","10/17/2021","09",10318.36
"D","10/17/2021","10",10082.04
"D","10/17/2021","11",9585.44
"D","10/17/2021","12",9666.72
"D","10/17/2021","13",9935.67
"D","10/17/2021","14",10168.51
"D","10/17/2021","15",10433.63
"D","10/17/2021","16",10928.78
"D","10/17/2021","17",11698.35
"D","10/17/2021","18",12628.0
"D","10/17/2021","19",13282.18
"D","10/17/2021","20",12966.97
"D","10/17/2021","21",12493.93
"D","10/17/2021","22",11680.0
"D","10/17/2021","23",10759.1
"D","10/17/2021","24",9924.26
"D","10/18/2021","01",9357.5
"D","10/18/2021","02",9008.97
"D","10/18/2021","03",8850.5
"D","10/18/2021","04",8834.59
"D","10/18/2021","05",9120.4
"D","10/18/2021","06",9928.57
"D","10/18/2021","07",11403.05
"D","10/18/2021","08",12339.72
"D","10/18/2021","09",12164.75
"D","10/18/2021","10",11555.62
"D","10/18/2021","11",11147.05
"D","10/18/2021","12",11176.9
"D","10/18/2021","13",11215.12
"D","10/18/2021","14",11436.52
"D","10/18/2021","15",11691.16
"D","10/18/2021","16",12096.26
"D","10/18/2021","17",12823.74
"D","10/18/2021","18",13681.23
"D","10/18/2021","19",14292.25
"D","10/18/2021","20",13958.2
"D","10/18/2021","21",13266.14
"D","10/18/2021","22",12372.7
"D","10/18/2021","23",11336.47
"D","10/18/2021","24",10433.08
"D","10/19/2021","01",10130.24
"D","10/19/2021","02",9982.31
"D","10/19/2021","03",9806.84
"D","10/19/2021","04",9761.48
"D","10/19/2021","05",10039.12
"D","10/19/2021","06",10343.74
"D","10/19/2021","07",11844.86
"D","10/19/2021","08",12821.87
"D","10/19/2021","09",12556.72
"D","10/19/2021","10",11761.54
"D","10/19/2021","11",11114.1
"D","10/19/2021","12",10825.08
"D","10/19/2021","13",10865.69
"D","10/19/2021","14",10958.76
"D","10/19/2021","15",11238.05
"D","10/19/2021","16",11621.51
"D","10/19/2021","17",12590.76
"D","10/19/2021","18",13672.8
"D","10/19/2021","19",14310.61
"D","10/19/2021","20",14014.51
"D","10/19/2021","21",13321.25
"D","10/19/2021","22",12430.83
"D","10/19/2021","23",11355.09
"D","10/19/2021","24",10445.88
"D","10/20/2021","01",10069.72
"D","10/20/2021","02",9930.21
"D","10/20/2021","03",9751.3
"D","10/20/2021","04",9974.88
"D","10/20/2021","05",9981.45
"D","10/20/2021","06",10295.19
"D","10/20/2021","07",11712.86
"D","10/20/2021","08",12625.51
"D","10/20/2021","09",12393.48
"D","10/20/2021","10",11748.16
"D","10/20/2021","11",11248.94
"D","10/20/2021","12",10931.55
"D","10/20/2021","13",11069.82
"D","10/20/2021","14",11236.62
"D","10/20/2021","15",11650.26
"D","10/20/2021","16",12216.41
"D","10/20/2021","17",12983.82
"D","10/20/2021","18",13857.17
"D","10/20/2021","19",14439.16
"D","10/20/2021","20",14093.88
"D","10/20/2021","21",13378.68
"D","10/20/2021","22",12495.46
"D","10/20/2021","23",11431.39
"D","10/20/2021","24",10516.84
"D","10/21/2021","01",9968.66
"D","10/21/2021","02",10006.04
"D","10/21/2021","03",10045.02
"D","10/21/2021","04",9991.76
"D","10/21/2021","05",10146.92
"D","10/21/2021","06",10503.96
"D","10/21/2021","07",11641.5
"D","10/21/2021","08",12516.82
"D","10/21/2021","09",12606.9
"D","10/21/2021","10",12249.78
"D","10/21/2021","11",11821.83
"D","10/21/2021","12",11706.69
"D","10/21/2021","13",11899.48
"D","10/21/2021","14",11778.35
"D","10/21/2021","15",12340.78
"D","10/21/2021","16",12633.12
"D","10/21/2021","17",13413.42
"D","10/21/2021","18",14057.14
"D","10/21/2021","19",14483.08
"D","10/21/2021","20",14149.28
"D","10/21/2021","21",13470.68
"D","10/21/2021","22",12600.02
"D","10/21/2021","23",11583.3
"D","10/21/2021","24",10657.66
"D","10/22/2021","01",10300.22
"D","10/22/2021","02",10371.35
"D","10/22/2021","03",10390.81
"D","10/22/2021","04",10373.13
"D","10/22/2021","05",10579.71
"D","10/22/2021","06",10887.71
"D","10/22/2021","07",11730.95
"D","10/22/2021","08",12677.53
"D","10/22/2021","09",12809.19
"D","10/22/2021","10",12406.55
"D","10/22/2021","11",12093.7
"D","10/22/2021","12",11949.19
"D","10/22/2021","13",11922.54
"D","10/22/2021","14",12061.68
"D","10/22/2021","15",12182.35
"D","10/22/2021","16",12437.4
"D","10/22/2021","17",12958.52
"D","10/22/2021","18",13558.77
"D","10/22/2021","19",13888.92
"D","10/22/2021","20",13487.58
"D","10/22/2021","21",12864.82
"D","10/22/2021","22",12143.17
"D","10/22/2021","23",11297.82
"D","10/22/2021","24",10680.58
"D","10/23/2021","01",10005.67
"D","10/23/2021","02",9545.96
"D","10/23/2021","03",9752.23
"D","10/23/2021","04",9820.4
"D","10/23/2021","05",10054.7
"D","10/23/2021","06",9990.76
"D","10/23/2021","07",10293.53
"D","10/23/2021","08",10870.17
"D","10/23/2021","09",10954.7
"D","10/23/2021","10",10771.4
"D","10/23/2021","11",10552.59
"D","10/23/2021","12",10133.85
"D","10/23/2021","13",9712.98
"D","10/23/2021","14",9660.83
"D","10/23/2021","15",9924.91
"D","10/23/2021","16",10339.02
"D","10/23/2021","17",11406.05
"D","10/23/2021","18",12390.27
"D","10/23/2021","19",12895.77
"D","10/23/2021","20",12617.77
"D","10/23/2021","21",12138.8
"D","10/23/2021","22",11580.54
"D","10/23/2021","23",10871.36
"D","10/23/2021","24",10386.45
"D","10/24/2021","01",9853.6
"D","10/24/2021","02",9574.19
"D","10/24/2021","03",9835.76
"D","10/24/2021","04",9762.34
"D","10/24/2021","05",9833.28
"D","10/24/2021","06",10077.15
"D","10/24/2021","07",10595.19
"D","10/24/2021","08",10702.81
"D","10/24/2021","09",10805.51
"D","10/24/2021","10",10295.64
"D","10/24/2021","11",9765.71
"D","10/24/2021","12",9840.07
"D","10/24/2021","13",9758.74
"D","10/24/2021","14",9658.1
"D","10/24/2021","15",10034.49
"D","10/24/2021","16",10782.64
"D","10/24/2021","17",11694.64
"D","10/24/2021","18",12789.51
"D","10/24/2021","19",13551.42
"D","10/24/2021","20",13308.8
"D","10/24/2021","21",12707.83
"D","10/24/2021","22",11867.02
"D","10/24/2021","23",10934.65
"D","10/24/2021","24",10224.15
"D","10/25/2021","01",9779.07
"D","10/25/2021","02",9693.56
"D","10/25/2021","03",9542.61
"D","10/25/2021","04",9545.54
"D","10/25/2021","05",9712.69
"D","10/25/2021","06",10169.51
"D","10/25/2021","07",11657.86
"D","10/25/2021","08",12866.16
"D","10/25/2021","09",13450.9
"D","10/25/2021","10",13787.98
"D","10/25/2021","11",13972.29
"D","10/25/2021","12",13940.7
"D","10/25/2021","13",13823.33
"D","10/25/2021","14",13774.16
"D","10/25/2021","15",13657.17
"D","10/25/2021","16",13711.2
"D","10/25/2021","17",14021.27
"D","10/25/2021","18",14604.68
"D","10/25/2021","19",14802.46
"D","10/25/2021","20",14277.24
"D","10/25/2021","21",13528.95
"D","10/25/2021","22",12588.36
"D","10/25/2021","23",11745.83
"D","10/25/2021","24",11116.6
"D","10/26/2021","01",10583.73
"D","10/26/2021","02",10467.76
"D","10/26/2021","03",10263.15
"D","10/26/2021","04",10232.85
"D","10/26/2021","05",10454.21
"D","10/26/2021","06",10838.08
"D","10/26/2021","07",11894.76
"D","10/26/2021","08",13029.66
"D","10/26/2021","09",13536.47
"D","10/26/2021","10",13846.44
"D","10/26/2021","11",14021.78
"D","10/26/2021","12",14126.86
"D","10/26/2021","13",14089.34
"D","10/26/2021","14",14078.39
"D","10/26/2021","15",13960.54
"D","10/26/2021","16",14007.41
"D","10/26/2021","17",14278.05
"D","10/26/2021","18",14751.5
"D","10/26/2021","19",14837.93
"D","10/26/2021","20",14279.52
"D","10/26/2021","21",13503.2
"D","10/26/2021","22",12675.02
"D","10/26/2021","23",12137.61
"D","10/26/2021","24",11472.31
"D","10/27/2021","01",10839.34
"D","10/27/2021","02",10453.71
"D","10/27/2021","03",10445.55
"D","10/27/2021","04",10343.4
"D","10/27/2021","05",10451.91
"D","10/27/2021","06",10626.3
"D","10/27/2021","07",11475.02
"D","10/27/2021","08",12214.16
"D","10/27/2021","09",12573.96
"D","10/27/2021","10",12720.72
"D","10/27/2021","11",12890.26
"D","10/27/2021","12",12895.3
"D","10/27/2021","13",12812.96
"D","10/27/2021","14",12823.93
"D","10/27/2021","15",12736.06
"D","10/27/2021","16",12727.08
"D","10/27/2021","17",13124.25
"D","10/27/2021","18",13752.4
"D","10/27/2021","19",14068.68
"D","10/27/2021","20",13692.13
"D","10/27/2021","21",13082.84
"D","10/27/2021","22",12261.85
"D","10/27/2021","23",11262.24
"D","10/27/2021","24",10369.2
"D","10/28/2021","01",9991.3
"D","10/28/2021","02",9974.46
"D","10/28/2021","03",10037.9
"D","10/28/2021","04",10017.15
"D","10/28/2021","05",10284.44
"D","10/28/2021","06",10595.86
"D","10/28/2021","07",11748.93
"D","10/28/2021","08",12783.76
"D","10/28/2021","09",12954.09
"D","10/28/2021","10",12714.77
"D","10/28/2021","11",12361.28
"D","10/28/2021","12",12109.3
"D","10/28/2021","13",11838.91
"D","10/28/2021","14",11802.17
"D","10/28/2021","15",11780.34
"D","10/28/2021","16",12074.44
"D","10/28/2021","17",12738.17
"D","10/28/2021","18",13693.23
"D","10/28/2021","19",14291.7
"D","10/28/2021","20",14032.99
"D","10/28/2021","21",13543.16
"D","10/28/2021","22",12785.58
"D","10/28/2021","23",11797.36
"D","10/28/2021","24",10906.49
"D","10/29/2021","01",10517.62
"D","10/29/2021","02",10443.04
"D","10/29/2021","03",10533.37
"D","10/29/2021","04",10524.46
"D","10/29/2021","05",10580.97
"D","10/29/2021","06",11115.85
"D","10/29/2021","07",12267.88
"D","10/29/2021","08",13337.31
"D","10/29/2021","09",13383.33
"D","10/29/2021","10",12982.84
"D","10/29/2021","11",12728.38
"D","10/29/2021","12",12489.77
"D","10/29/2021","13",12275.69
"D","10/29/2021","14",12279.79
"D","10/29/2021","15",12338.45
"D","10/29/2021","16",12595.89
"D","10/29/2021","17",13022.51
"D","10/29/2021","18",13809.01
"D","10/29/2021","19",14159.76
"D","10/29/2021","20",13759.93
"D","10/29/2021","21",13208.47
"D","10/29/2021","22",12541.29
"D","10/29/2021","23",11754.04
"D","10/29/2021","24",11058.28
"D","10/30/2021","01",10402.1
"D","10/30/2021","02",10253.7
"D","10/30/2021","03",10197.41
"D","10/30/2021","04",10173.98
"D","10/30/2021","05",10234.24
