"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20221216_20221230.csv"
"C","Report for: 12/16/2022 - 12/30/2022"
"C","Report generated: 10/02/2025 10:47:52 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","12/16/2022","01",12568.12
"D","12/16/2022","02",12273.04
"D","12/16/2022","03",12183.54
"D","12/16/2022","04",12169.03
"D","12/16/2022","05",12454.62
"D","12/16/2022","06",13058.37
"D","12/16/2022","07",13901.69
"D","12/16/2022","08",14632.26
"D","12/16/2022","09",15090.49
"D","12/16/2022","10",15426.74
"D","12/16/2022","11",15621.76
"D","12/16/2022","12",15680.34
"D","12/16/2022","13",15638.25
"D","12/16/2022","14",15566.3
"D","12/16/2022","15",15480.44
"D","12/16/2022","16",15620.18
"D","12/16/2022","17",16281.39
"D","12/16/2022","18",16558.54
"D","12/16/2022","19",16154.07
"D","12/16/2022","20",15564.42
"D","12/16/2022","21",14957.76
"D","12/16/2022","22",14186.33
"D","12/16/2022","23",13552.58
"D","12/16/2022","24",12815.74
"D","12/17/2022","01",12129.78
"D","12/17/2022","02",11919.16
"D","12/17/2022","03",11805.27
"D","12/17/2022","04",11888.21
"D","12/17/2022","05",11569.43
"D","12/17/2022","06",11623.76
"D","12/17/2022","07",12271.01
"D","12/17/2022","08",12955.57
"D","12/17/2022","09",13487.14
"D","12/17/2022","10",13282.02
"D","12/17/2022","11",13070.37
"D","12/17/2022","12",12897.21
"D","12/17/2022","13",12792.86
"D","12/17/2022","14",12994.08
"D","12/17/2022","15",13372.28
"D","12/17/2022","16",13842.12
"D","12/17/2022","17",14791.26
"D","12/17/2022","18",15358.39
"D","12/17/2022","19",15153.05
"D","12/17/2022","20",14777.89
"D","12/17/2022","21",14339.34
"D","12/17/2022","22",13787.93
"D","12/17/2022","23",13004.05
"D","12/17/2022","24",12194.97
"D","12/18/2022","01",11906.36
"D","12/18/2022","02",11737.41
"D","12/18/2022","03",11763.46
"D","12/18/2022","04",11469.59
"D","12/18/2022","05",11502.47
"D","12/18/2022","06",11303.5
"D","12/18/2022","07",11876.36
"D","12/18/2022","08",12471.26
"D","12/18/2022","09",12733.0
"D","12/18/2022","10",12698.62
"D","12/18/2022","11",12501.36
"D","12/18/2022","12",12301.87
"D","12/18/2022","13",12440.87
"D","12/18/2022","14",12769.93
"D","12/18/2022","15",13299.73
"D","12/18/2022","16",14096.34
"D","12/18/2022","17",15363.7
"D","12/18/2022","18",16142.38
"D","12/18/2022","19",16060.16
"D","12/18/2022","20",15747.31
"D","12/18/2022","21",15320.84
"D","12/18/2022","22",14518.64
"D","12/18/2022","23",13463.28
"D","12/18/2022","24",12633.17
"D","12/19/2022","01",12740.87
"D","12/19/2022","02",12693.01
"D","12/19/2022","03",12566.95
"D","12/19/2022","04",12623.79
"D","12/19/2022","05",13029.02
"D","12/19/2022","06",13432.7
"D","12/19/2022","07",14328.52
"D","12/19/2022","08",15317.17
"D","12/19/2022","09",15136.28
"D","12/19/2022","10",14417.79
"D","12/19/2022","11",14027.33
"D","12/19/2022","12",13938.56
"D","12/19/2022","13",14063.66
"D","12/19/2022","14",14492.37
"D","12/19/2022","15",14778.45
"D","12/19/2022","16",15344.34
"D","12/19/2022","17",16531.47
"D","12/19/2022","18",17301.02
"D","12/19/2022","19",17155.16
"D","12/19/2022","20",16747.5
"D","12/19/2022","21",16146.34
"D","12/19/2022","22",15233.26
"D","12/19/2022","23",14135.3
"D","12/19/2022","24",13263.16
"D","12/20/2022","01",12973.8
"D","12/20/2022","02",12701.32
"D","12/20/2022","03",12563.7
"D","12/20/2022","04",12741.94
"D","12/20/2022","05",12774.1
"D","12/20/2022","06",13453.22
"D","12/20/2022","07",14563.6
"D","12/20/2022","08",15500.52
"D","12/20/2022","09",15187.76
"D","12/20/2022","10",14224.91
"D","12/20/2022","11",13364.67
"D","12/20/2022","12",13237.89
"D","12/20/2022","13",13353.98
"D","12/20/2022","14",13680.71
"D","12/20/2022","15",14144.64
"D","12/20/2022","16",14933.45
"D","12/20/2022","17",16266.18
"D","12/20/2022","18",17110.06
"D","12/20/2022","19",17048.44
"D","12/20/2022","20",16740.39
"D","12/20/2022","21",16236.78
"D","12/20/2022","22",15404.54
"D","12/20/2022","23",14282.88
"D","12/20/2022","24",13214.02
"D","12/21/2022","01",12977.79
"D","12/21/2022","02",13057.33
"D","12/21/2022","03",12437.52
"D","12/21/2022","04",12458.7
"D","12/21/2022","05",12484.49
"D","12/21/2022","06",13399.98
"D","12/21/2022","07",14913.64
"D","12/21/2022","08",15898.07
"D","12/21/2022","09",15675.52
"D","12/21/2022","10",14725.99
"D","12/21/2022","11",14187.12
"D","12/21/2022","12",13708.96
"D","12/21/2022","13",13392.54
"D","12/21/2022","14",13610.71
"D","12/21/2022","15",14363.78
"D","12/21/2022","16",15258.16
"D","12/21/2022","17",16249.95
"D","12/21/2022","18",17067.08
"D","12/21/2022","19",16998.37
"D","12/21/2022","20",16725.36
"D","12/21/2022","21",16465.21
"D","12/21/2022","22",16185.17
"D","12/21/2022","23",15051.3
"D","12/21/2022","24",13975.4
"D","12/22/2022","01",13159.6
"D","12/22/2022","02",12305.23
"D","12/22/2022","03",12280.13
"D","12/22/2022","04",12596.39
"D","12/22/2022","05",12911.73
"D","12/22/2022","06",13544.67
"D","12/22/2022","07",14811.77
"D","12/22/2022","08",15703.35
"D","12/22/2022","09",15700.4
"D","12/22/2022","10",15462.72
"D","12/22/2022","11",15227.61
"D","12/22/2022","12",14876.95
"D","12/22/2022","13",15376.82
"D","12/22/2022","14",15227.57
"D","12/22/2022","15",15346.82
"D","12/22/2022","16",15629.2
"D","12/22/2022","17",16439.8
"D","12/22/2022","18",16851.41
"D","12/22/2022","19",16578.06
"D","12/22/2022","20",16145.14
"D","12/22/2022","21",15779.99
"D","12/22/2022","22",14859.58
"D","12/22/2022","23",14134.19
"D","12/22/2022","24",13239.32
"D","12/23/2022","01",12749.32
"D","12/23/2022","02",12232.19
"D","12/23/2022","03",11943.34
"D","12/23/2022","04",11809.14
"D","12/23/2022","05",11939.55
"D","12/23/2022","06",12298.99
"D","12/23/2022","07",12307.25
"D","12/23/2022","08",12965.25
"D","12/23/2022","09",13416.91
"D","12/23/2022","10",13674.81
"D","12/23/2022","11",13810.84
"D","12/23/2022","12",13944.8
"D","12/23/2022","13",13859.21
"D","12/23/2022","14",13795.65
"D","12/23/2022","15",13774.07
"D","12/23/2022","16",14041.67
"D","12/23/2022","17",14829.16
"D","12/23/2022","18",15296.42
"D","12/23/2022","19",15165.98
"D","12/23/2022","20",14988.9
"D","12/23/2022","21",14844.56
"D","12/23/2022","22",14442.88
"D","12/23/2022","23",13806.39
"D","12/23/2022","24",13148.08
"D","12/24/2022","01",12811.87
"D","12/24/2022","02",12990.58
"D","12/24/2022","03",13193.38
"D","12/24/2022","04",13222.59
"D","12/24/2022","05",13427.53
"D","12/24/2022","06",13606.84
"D","12/24/2022","07",14025.65
"D","12/24/2022","08",14548.31
"D","12/24/2022","09",14998.86
"D","12/24/2022","10",14926.96
"D","12/24/2022","11",14613.69
"D","12/24/2022","12",14477.1
"D","12/24/2022","13",14483.36
"D","12/24/2022","14",14834.06
"D","12/24/2022","15",15462.54
"D","12/24/2022","16",16242.56
"D","12/24/2022","17",17126.74
"D","12/24/2022","18",17382.07
"D","12/24/2022","19",17009.17
"D","12/24/2022","20",16710.42
"D","12/24/2022","21",16420.58
"D","12/24/2022","22",16073.56
"D","12/24/2022","23",15496.28
"D","12/24/2022","24",14959.56
"D","12/25/2022","01",14476.87
"D","12/25/2022","02",14318.23
"D","12/25/2022","03",14343.52
"D","12/25/2022","04",14427.93
"D","12/25/2022","05",14421.2
"D","12/25/2022","06",14202.17
"D","12/25/2022","07",14607.21
"D","12/25/2022","08",14892.51
"D","12/25/2022","09",15027.01
"D","12/25/2022","10",14674.79
"D","12/25/2022","11",14283.77
"D","12/25/2022","12",14175.46
"D","12/25/2022","13",13932.68
"D","12/25/2022","14",14212.91
"D","12/25/2022","15",14487.35
"D","12/25/2022","16",14733.3
"D","12/25/2022","17",15661.04
"D","12/25/2022","18",16106.53
"D","12/25/2022","19",15965.15
"D","12/25/2022","20",15798.37
"D","12/25/2022","21",15583.88
"D","12/25/2022","22",15193.74
"D","12/25/2022","23",14530.36
"D","12/25/2022","24",14312.2
"D","12/26/2022","01",14127.72
"D","12/26/2022","02",14021.46
"D","12/26/2022","03",13850.5
"D","12/26/2022","04",13856.53
"D","12/26/2022","05",14054.05
"D","12/26/2022","06",14062.14
"D","12/26/2022","07",14086.04
"D","12/26/2022","08",14536.64
"D","12/26/2022","09",14539.3
"D","12/26/2022","10",14056.85
"D","12/26/2022","11",13718.12
"D","12/26/2022","12",13491.84
"D","12/26/2022","13",13460.89
"D","12/26/2022","14",13446.95
"D","12/26/2022","15",14183.96
"D","12/26/2022","16",15183.73
"D","12/26/2022","17",16492.77
"D","12/26/2022","18",17154.52
"D","12/26/2022","19",16933.65
"D","12/26/2022","20",16480.08
"D","12/26/2022","21",15916.22
"D","12/26/2022","22",15151.08
"D","12/26/2022","23",14268.52
"D","12/26/2022","24",13482.85
"D","12/27/2022","01",12900.17
"D","12/27/2022","02",12518.97
"D","12/27/2022","03",12345.78
"D","12/27/2022","04",12384.76
"D","12/27/2022","05",12638.18
"D","12/27/2022","06",13000.96
"D","12/27/2022","07",14063.58
"D","12/27/2022","08",14997.72
"D","12/27/2022","09",15460.97
"D","12/27/2022","10",15507.39
"D","12/27/2022","11",15091.89
"D","12/27/2022","12",14371.16
"D","12/27/2022","13",14164.07
"D","12/27/2022","14",14293.16
"D","12/27/2022","15",14698.93
"D","12/27/2022","16",15585.52
"D","12/27/2022","17",16704.1
"D","12/27/2022","18",17301.79
"D","12/27/2022","19",17121.93
"D","12/27/2022","20",16768.39
"D","12/27/2022","21",16240.37
"D","12/27/2022","22",15460.74
"D","12/27/2022","23",14460.27
"D","12/27/2022","24",13569.28
"D","12/28/2022","01",12978.49
"D","12/28/2022","02",13154.26
"D","12/28/2022","03",13013.86
"D","12/28/2022","04",13013.14
"D","12/28/2022","05",13222.25
"D","12/28/2022","06",13393.72
"D","12/28/2022","07",14322.81
"D","12/28/2022","08",15161.41
"D","12/28/2022","09",15516.6
"D","12/28/2022","10",15358.34
"D","12/28/2022","11",15168.55
"D","12/28/2022","12",15114.57
"D","12/28/2022","13",14839.42
"D","12/28/2022","14",14763.57
"D","12/28/2022","15",15207.25
"D","12/28/2022","16",15288.05
"D","12/28/2022","17",16185.97
"D","12/28/2022","18",16725.92
"D","12/28/2022","19",16418.35
"D","12/28/2022","20",15918.82
"D","12/28/2022","21",15294.24
"D","12/28/2022","22",14502.6
"D","12/28/2022","23",13516.06
