"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20211201_20211214.csv"
"C","Report for: 12/01/2021 - 12/14/2021"
"C","Report generated: 10/02/2025 11:13:38 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","12/01/2021","01",11708.9
"D","12/01/2021","02",11548.6
"D","12/01/2021","03",11670.5
"D","12/01/2021","04",11677.16
"D","12/01/2021","05",11773.23
"D","12/01/2021","06",12488.29
"D","12/01/2021","07",14018.68
"D","12/01/2021","08",14836.3
"D","12/01/2021","09",14544.76
"D","12/01/2021","10",13938.79
"D","12/01/2021","11",14032.48
"D","12/01/2021","12",14288.91
"D","12/01/2021","13",14216.85
"D","12/01/2021","14",14372.04
"D","12/01/2021","15",14602.64
"D","12/01/2021","16",14800.35
"D","12/01/2021","17",15708.81
"D","12/01/2021","18",16542.17
"D","12/01/2021","19",16398.7
"D","12/01/2021","20",15961.59
"D","12/01/2021","21",15314.21
"D","12/01/2021","22",14380.33
"D","12/01/2021","23",13212.49
"D","12/01/2021","24",12163.3
"D","12/02/2021","01",11516.61
"D","12/02/2021","02",11388.67
"D","12/02/2021","03",11524.63
"D","12/02/2021","04",11504.63
"D","12/02/2021","05",11788.18
"D","12/02/2021","06",12416.99
"D","12/02/2021","07",13672.58
"D","12/02/2021","08",14497.76
"D","12/02/2021","09",14808.29
"D","12/02/2021","10",14583.07
"D","12/02/2021","11",14285.25
"D","12/02/2021","12",13969.64
"D","12/02/2021","13",14113.64
"D","12/02/2021","14",14448.16
"D","12/02/2021","15",14531.94
"D","12/02/2021","16",14989.46
"D","12/02/2021","17",15305.39
"D","12/02/2021","18",15765.5
"D","12/02/2021","19",15747.22
"D","12/02/2021","20",15257.54
"D","12/02/2021","21",14609.43
"D","12/02/2021","22",14216.13
"D","12/02/2021","23",13473.58
"D","12/02/2021","24",12518.5
"D","12/03/2021","01",11606.11
"D","12/03/2021","02",11254.28
"D","12/03/2021","03",11104.56
"D","12/03/2021","04",11301.13
"D","12/03/2021","05",11677.76
"D","12/03/2021","06",12050.53
"D","12/03/2021","07",13119.87
"D","12/03/2021","08",14092.29
"D","12/03/2021","09",14106.23
"D","12/03/2021","10",13434.87
"D","12/03/2021","11",13033.04
"D","12/03/2021","12",12614.5
"D","12/03/2021","13",12402.2
"D","12/03/2021","14",12581.27
"D","12/03/2021","15",13305.23
"D","12/03/2021","16",14345.02
"D","12/03/2021","17",15564.65
"D","12/03/2021","18",16247.05
"D","12/03/2021","19",16054.54
"D","12/03/2021","20",15667.76
"D","12/03/2021","21",15192.34
"D","12/03/2021","22",14511.98
"D","12/03/2021","23",13636.55
"D","12/03/2021","24",12712.3
"D","12/04/2021","01",12320.23
"D","12/04/2021","02",11995.74
"D","12/04/2021","03",11793.25
"D","12/04/2021","04",11759.79
"D","12/04/2021","05",11928.48
"D","12/04/2021","06",12195.92
"D","12/04/2021","07",12737.89
"D","12/04/2021","08",13431.79
"D","12/04/2021","09",13730.81
"D","12/04/2021","10",13648.43
"D","12/04/2021","11",13255.84
"D","12/04/2021","12",12968.71
"D","12/04/2021","13",12964.0
"D","12/04/2021","14",13001.18
"D","12/04/2021","15",13300.93
"D","12/04/2021","16",13968.3
"D","12/04/2021","17",15100.5
"D","12/04/2021","18",15699.17
"D","12/04/2021","19",15499.48
"D","12/04/2021","20",15071.19
"D","12/04/2021","21",14560.22
"D","12/04/2021","22",13915.98
"D","12/04/2021","23",13050.78
"D","12/04/2021","24",12215.66
"D","12/05/2021","01",11765.55
"D","12/05/2021","02",11772.72
"D","12/05/2021","03",11573.31
"D","12/05/2021","04",11505.25
"D","12/05/2021","05",11568.27
"D","12/05/2021","06",11860.08
"D","12/05/2021","07",12388.58
"D","12/05/2021","08",12648.56
"D","12/05/2021","09",12723.45
"D","12/05/2021","10",12470.95
"D","12/05/2021","11",12206.6
"D","12/05/2021","12",11991.37
"D","12/05/2021","13",11701.2
"D","12/05/2021","14",11940.14
"D","12/05/2021","15",12642.39
"D","12/05/2021","16",13622.37
"D","12/05/2021","17",15118.33
"D","12/05/2021","18",15974.09
"D","12/05/2021","19",15804.64
"D","12/05/2021","20",15375.58
"D","12/05/2021","21",14773.78
"D","12/05/2021","22",13842.92
"D","12/05/2021","23",12695.55
"D","12/05/2021","24",11915.68
"D","12/06/2021","01",11525.25
"D","12/06/2021","02",11422.25
"D","12/06/2021","03",11231.03
"D","12/06/2021","04",11217.97
"D","12/06/2021","05",11258.11
"D","12/06/2021","06",12046.52
"D","12/06/2021","07",13102.52
"D","12/06/2021","08",14181.19
"D","12/06/2021","09",14546.81
"D","12/06/2021","10",14666.31
"D","12/06/2021","11",14625.83
"D","12/06/2021","12",14479.5
"D","12/06/2021","13",14286.77
"D","12/06/2021","14",14274.21
"D","12/06/2021","15",14207.89
"D","12/06/2021","16",14460.04
"D","12/06/2021","17",15389.89
"D","12/06/2021","18",16022.66
"D","12/06/2021","19",15727.09
"D","12/06/2021","20",15124.24
"D","12/06/2021","21",14371.92
"D","12/06/2021","22",13418.5
"D","12/06/2021","23",12304.4
"D","12/06/2021","24",11803.76
"D","12/07/2021","01",10926.07
"D","12/07/2021","02",10898.54
"D","12/07/2021","03",10921.38
"D","12/07/2021","04",11061.53
"D","12/07/2021","05",11042.39
"D","12/07/2021","06",11786.1
"D","12/07/2021","07",13360.9
"D","12/07/2021","08",14342.04
"D","12/07/2021","09",14032.46
"D","12/07/2021","10",13271.78
"D","12/07/2021","11",12931.96
"D","12/07/2021","12",13049.1
"D","12/07/2021","13",13278.95
"D","12/07/2021","14",13465.05
"D","12/07/2021","15",13849.57
"D","12/07/2021","16",14712.55
"D","12/07/2021","17",16013.04
"D","12/07/2021","18",16796.54
"D","12/07/2021","19",16651.97
"D","12/07/2021","20",16226.81
"D","12/07/2021","21",15625.46
"D","12/07/2021","22",14716.96
"D","12/07/2021","23",13531.2
"D","12/07/2021","24",12523.68
"D","12/08/2021","01",12262.64
"D","12/08/2021","02",11914.24
"D","12/08/2021","03",11605.48
"D","12/08/2021","04",11626.28
"D","12/08/2021","05",11938.24
"D","12/08/2021","06",12690.4
"D","12/08/2021","07",14107.12
"D","12/08/2021","08",15217.8
"D","12/08/2021","09",15430.43
"D","12/08/2021","10",15430.38
"D","12/08/2021","11",15499.75
"D","12/08/2021","12",15597.72
"D","12/08/2021","13",15682.98
"D","12/08/2021","14",15809.8
"D","12/08/2021","15",15799.14
"D","12/08/2021","16",16092.04
"D","12/08/2021","17",16987.14
"D","12/08/2021","18",17530.67
"D","12/08/2021","19",17307.72
"D","12/08/2021","20",16833.26
"D","12/08/2021","21",16133.9
"D","12/08/2021","22",15194.05
"D","12/08/2021","23",13978.86
"D","12/08/2021","24",12927.0
"D","12/09/2021","01",12242.73
"D","12/09/2021","02",12226.35
"D","12/09/2021","03",12058.2
"D","12/09/2021","04",12083.68
"D","12/09/2021","05",12435.46
"D","12/09/2021","06",13091.8
"D","12/09/2021","07",14701.54
"D","12/09/2021","08",15703.84
"D","12/09/2021","09",15850.61
"D","12/09/2021","10",15449.91
"D","12/09/2021","11",15100.71
"D","12/09/2021","12",15137.73
"D","12/09/2021","13",15161.56
"D","12/09/2021","14",15436.5
"D","12/09/2021","15",15378.36
"D","12/09/2021","16",15867.33
"D","12/09/2021","17",16890.97
"D","12/09/2021","18",17441.94
"D","12/09/2021","19",17202.58
"D","12/09/2021","20",16773.11
"D","12/09/2021","21",16157.75
"D","12/09/2021","22",15229.13
"D","12/09/2021","23",14058.86
"D","12/09/2021","24",13325.86
"D","12/10/2021","01",12975.0
"D","12/10/2021","02",12827.52
"D","12/10/2021","03",12897.99
"D","12/10/2021","04",12887.64
"D","12/10/2021","05",12630.03
"D","12/10/2021","06",12940.77
"D","12/10/2021","07",14357.3
"D","12/10/2021","08",15446.58
"D","12/10/2021","09",15869.91
"D","12/10/2021","10",16014.86
"D","12/10/2021","11",15993.92
"D","12/10/2021","12",15630.16
"D","12/10/2021","13",15444.5
"D","12/10/2021","14",15317.78
"D","12/10/2021","15",14858.12
"D","12/10/2021","16",15153.1
"D","12/10/2021","17",16100.37
"D","12/10/2021","18",16600.18
"D","12/10/2021","19",16261.78
"D","12/10/2021","20",15819.37
"D","12/10/2021","21",15265.04
"D","12/10/2021","22",14525.39
"D","12/10/2021","23",13860.68
"D","12/10/2021","24",12840.58
"D","12/11/2021","01",12388.66
"D","12/11/2021","02",12153.95
"D","12/11/2021","03",11912.42
"D","12/11/2021","04",11773.78
"D","12/11/2021","05",11863.6
"D","12/11/2021","06",11890.82
"D","12/11/2021","07",12268.67
"D","12/11/2021","08",13068.9
"D","12/11/2021","09",13649.42
"D","12/11/2021","10",14315.57
"D","12/11/2021","11",14657.76
"D","12/11/2021","12",14850.94
"D","12/11/2021","13",14743.96
"D","12/11/2021","14",14492.62
"D","12/11/2021","15",14345.17
"D","12/11/2021","16",14380.84
"D","12/11/2021","17",14944.75
"D","12/11/2021","18",15159.02
"D","12/11/2021","19",14760.92
"D","12/11/2021","20",14441.67
"D","12/11/2021","21",13878.85
"D","12/11/2021","22",13210.45
"D","12/11/2021","23",12573.32
"D","12/11/2021","24",11645.1
"D","12/12/2021","01",10913.85
"D","12/12/2021","02",10475.15
"D","12/12/2021","03",10287.25
"D","12/12/2021","04",10271.25
"D","12/12/2021","05",10373.13
"D","12/12/2021","06",11014.37
"D","12/12/2021","07",11387.87
"D","12/12/2021","08",12049.61
"D","12/12/2021","09",12555.89
"D","12/12/2021","10",12461.13
"D","12/12/2021","11",12030.09
"D","12/12/2021","12",11815.2
"D","12/12/2021","13",11805.7
"D","12/12/2021","14",11915.4
"D","12/12/2021","15",12625.26
"D","12/12/2021","16",13293.42
"D","12/12/2021","17",14741.61
"D","12/12/2021","18",15660.18
"D","12/12/2021","19",15580.7
"D","12/12/2021","20",15203.71
"D","12/12/2021","21",14707.84
"D","12/12/2021","22",13909.2
"D","12/12/2021","23",12808.77
"D","12/12/2021","24",11827.42
"D","12/13/2021","01",11174.86
"D","12/13/2021","02",11115.88
"D","12/13/2021","03",11005.43
"D","12/13/2021","04",11063.68
"D","12/13/2021","05",11355.85
"D","12/13/2021","06",12025.48
"D","12/13/2021","07",13564.98
"D","12/13/2021","08",14581.15
"D","12/13/2021","09",14807.33
"D","12/13/2021","10",14774.45
"D","12/13/2021","11",14579.72
"D","12/13/2021","12",14236.6
"D","12/13/2021","13",13365.2
"D","12/13/2021","14",12747.02
"D","12/13/2021","15",13284.16
"D","12/13/2021","16",14198.86
"D","12/13/2021","17",15482.97
"D","12/13/2021","18",16475.99
"D","12/13/2021","19",16311.5
"D","12/13/2021","20",15819.81
"D","12/13/2021","21",15153.08
"D","12/13/2021","22",14245.08
"D","12/13/2021","23",13499.96
"D","12/13/2021","24",11984.72
"D","12/14/2021","01",11527.74
"D","12/14/2021","02",11170.11
"D","12/14/2021","03",11008.39
"D","12/14/2021","04",11038.69
"D","12/14/2021","05",11397.05
"D","12/14/2021","06",12188.26
"D","12/14/2021","07",13601.13
"D","12/14/2021","08",14512.03
"D","12/14/2021","09",14214.08
"D","12/14/2021","10",13347.42
"D","12/14/2021","11",12689.96
"D","12/14/2021","12",12327.39
"D","12/14/2021","13",12232.4
"D","12/14/2021","14",12758.19
"D","12/14/2021","15",13468.26
"D","12/14/2021","16",14071.45
"D","12/14/2021","17",15387.49
"D","12/14/2021","18",16390.19
"D","12/14/2021","19",16329.61
"D","12/14/2021","20",15978.99
"D","12/14/2021","21",15458.42
"D","12/14/2021","22",14591.92
"D","12/14/2021","23",13419.88
"D","12/14/2021","24",12391.56
"T","336 lines"
