"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20230916_20230930.csv"
"C","Report for: 09/16/2023 - 09/30/2023"
"C","Report generated: 10/02/2025 10:42:50 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","09/16/2023","01",10125.0
"D","09/16/2023","02",9669.4
"D","09/16/2023","03",9394.04
"D","09/16/2023","04",9253.75
"D","09/16/2023","05",9255.25
"D","09/16/2023","06",9471.5
"D","09/16/2023","07",9937.64
"D","09/16/2023","08",10424.44
"D","09/16/2023","09",10965.65
"D","09/16/2023","10",11121.88
"D","09/16/2023","11",10980.88
"D","09/16/2023","12",10772.56
"D","09/16/2023","13",10516.46
"D","09/16/2023","14",10392.07
"D","09/16/2023","15",10514.39
"D","09/16/2023","16",10631.19
"D","09/16/2023","17",11188.14
"D","09/16/2023","18",12152.98
"D","09/16/2023","19",12773.78
"D","09/16/2023","20",12997.34
"D","09/16/2023","21",12548.51
"D","09/16/2023","22",11908.9
"D","09/16/2023","23",11160.03
"D","09/16/2023","24",10378.97
"D","09/17/2023","01",9816.26
"D","09/17/2023","02",9716.85
"D","09/17/2023","03",9428.6
"D","09/17/2023","04",9252.35
"D","09/17/2023","05",9228.06
"D","09/17/2023","06",9364.91
"D","09/17/2023","07",9641.99
"D","09/17/2023","08",9732.92
"D","09/17/2023","09",9409.71
"D","09/17/2023","10",8631.31
"D","09/17/2023","11",8320.46
"D","09/17/2023","12",8317.31
"D","09/17/2023","13",8617.03
"D","09/17/2023","14",8993.11
"D","09/17/2023","15",9693.33
"D","09/17/2023","16",10806.77
"D","09/17/2023","17",12334.45
"D","09/17/2023","18",13647.15
"D","09/17/2023","19",14168.62
"D","09/17/2023","20",14402.9
"D","09/17/2023","21",13874.5
"D","09/17/2023","22",12994.54
"D","09/17/2023","23",12015.2
"D","09/17/2023","24",11132.52
"D","09/18/2023","01",10514.71
"D","09/18/2023","02",10378.4
"D","09/18/2023","03",10137.27
"D","09/18/2023","04",10343.29
"D","09/18/2023","05",10326.02
"D","09/18/2023","06",10849.2
"D","09/18/2023","07",12130.85
"D","09/18/2023","08",13204.14
"D","09/18/2023","09",13794.26
"D","09/18/2023","10",14079.85
"D","09/18/2023","11",14335.84
"D","09/18/2023","12",14569.34
"D","09/18/2023","13",14669.21
"D","09/18/2023","14",14640.22
"D","09/18/2023","15",14433.12
"D","09/18/2023","16",14356.46
"D","09/18/2023","17",14606.16
"D","09/18/2023","18",14974.46
"D","09/18/2023","19",15093.62
"D","09/18/2023","20",14909.71
"D","09/18/2023","21",14230.21
"D","09/18/2023","22",13355.57
"D","09/18/2023","23",12283.95
"D","09/18/2023","24",11540.32
"D","09/19/2023","01",11054.7
"D","09/19/2023","02",10770.96
"D","09/19/2023","03",10510.78
"D","09/19/2023","04",10378.78
"D","09/19/2023","05",10516.1
"D","09/19/2023","06",10728.64
"D","09/19/2023","07",11822.15
"D","09/19/2023","08",12394.53
"D","09/19/2023","09",11967.95
"D","09/19/2023","10",11371.9
"D","09/19/2023","11",11159.68
"D","09/19/2023","12",11403.2
"D","09/19/2023","13",11702.06
"D","09/19/2023","14",11818.3
"D","09/19/2023","15",11887.51
"D","09/19/2023","16",12366.08
"D","09/19/2023","17",13149.54
"D","09/19/2023","18",14158.15
"D","09/19/2023","19",14607.81
"D","09/19/2023","20",14716.34
"D","09/19/2023","21",14071.78
"D","09/19/2023","22",13123.21
"D","09/19/2023","23",11997.94
"D","09/19/2023","24",10998.65
"D","09/20/2023","01",10850.77
"D","09/20/2023","02",10459.88
"D","09/20/2023","03",10185.31
"D","09/20/2023","04",10072.22
"D","09/20/2023","05",10245.01
"D","09/20/2023","06",10747.57
"D","09/20/2023","07",11519.37
"D","09/20/2023","08",12018.79
"D","09/20/2023","09",11429.83
"D","09/20/2023","10",10629.19
"D","09/20/2023","11",10151.04
"D","09/20/2023","12",9982.87
"D","09/20/2023","13",10065.7
"D","09/20/2023","14",10350.5
"D","09/20/2023","15",10786.28
"D","09/20/2023","16",11567.3
"D","09/20/2023","17",12729.2
"D","09/20/2023","18",13970.61
"D","09/20/2023","19",14540.79
"D","09/20/2023","20",14618.41
"D","09/20/2023","21",13949.66
"D","09/20/2023","22",12966.65
"D","09/20/2023","23",11796.24
"D","09/20/2023","24",11110.68
"D","09/21/2023","01",10764.38
"D","09/21/2023","02",10304.93
"D","09/21/2023","03",10041.27
"D","09/21/2023","04",9936.12
"D","09/21/2023","05",10072.3
"D","09/21/2023","06",10206.33
"D","09/21/2023","07",11409.49
"D","09/21/2023","08",11884.55
"D","09/21/2023","09",11277.04
"D","09/21/2023","10",10432.26
"D","09/21/2023","11",9890.74
"D","09/21/2023","12",9733.28
"D","09/21/2023","13",9794.7
"D","09/21/2023","14",10140.71
"D","09/21/2023","15",10576.1
"D","09/21/2023","16",11394.05
"D","09/21/2023","17",12569.9
"D","09/21/2023","18",13765.62
"D","09/21/2023","19",14291.08
"D","09/21/2023","20",14442.58
"D","09/21/2023","21",13794.89
"D","09/21/2023","22",12863.1
"D","09/21/2023","23",11759.04
"D","09/21/2023","24",10772.0
"D","09/22/2023","01",10670.83
"D","09/22/2023","02",10297.15
"D","09/22/2023","03",10018.07
"D","09/22/2023","04",9896.14
"D","09/22/2023","05",10057.81
"D","09/22/2023","06",10478.77
"D","09/22/2023","07",11297.38
"D","09/22/2023","08",11822.33
"D","09/22/2023","09",11428.96
"D","09/22/2023","10",10732.52
"D","09/22/2023","11",10265.33
"D","09/22/2023","12",10227.62
"D","09/22/2023","13",10327.51
"D","09/22/2023","14",10363.26
"D","09/22/2023","15",10494.66
"D","09/22/2023","16",11132.69
"D","09/22/2023","17",12059.15
"D","09/22/2023","18",12893.29
"D","09/22/2023","19",13363.45
"D","09/22/2023","20",13438.05
"D","09/22/2023","21",12866.85
"D","09/22/2023","22",12175.52
"D","09/22/2023","23",11287.13
"D","09/22/2023","24",10422.9
"D","09/23/2023","01",9773.16
"D","09/23/2023","02",9703.8
"D","09/23/2023","03",9425.64
"D","09/23/2023","04",9306.61
"D","09/23/2023","05",9338.13
"D","09/23/2023","06",9577.39
"D","09/23/2023","07",9765.65
"D","09/23/2023","08",10301.17
"D","09/23/2023","09",10887.19
"D","09/23/2023","10",11180.96
"D","09/23/2023","11",11260.82
"D","09/23/2023","12",11251.44
"D","09/23/2023","13",11368.33
"D","09/23/2023","14",11356.77
"D","09/23/2023","15",11461.12
"D","09/23/2023","16",11808.73
"D","09/23/2023","17",12155.93
"D","09/23/2023","18",12589.12
"D","09/23/2023","19",12821.76
"D","09/23/2023","20",12738.8
"D","09/23/2023","21",12241.82
"D","09/23/2023","22",11661.55
"D","09/23/2023","23",10994.29
"D","09/23/2023","24",10527.2
"D","09/24/2023","01",9963.95
"D","09/24/2023","02",9573.47
"D","09/24/2023","03",9317.08
"D","09/24/2023","04",9191.93
"D","09/24/2023","05",9196.77
"D","09/24/2023","06",9377.97
"D","09/24/2023","07",9450.47
"D","09/24/2023","08",9960.68
"D","09/24/2023","09",10646.04
"D","09/24/2023","10",11186.39
"D","09/24/2023","11",11437.21
"D","09/24/2023","12",11600.98
"D","09/24/2023","13",11780.84
"D","09/24/2023","14",11820.74
"D","09/24/2023","15",11885.44
"D","09/24/2023","16",12064.27
"D","09/24/2023","17",12590.51
"D","09/24/2023","18",13181.18
"D","09/24/2023","19",13425.65
"D","09/24/2023","20",13316.72
"D","09/24/2023","21",12711.25
"D","09/24/2023","22",11890.46
"D","09/24/2023","23",11001.3
"D","09/24/2023","24",10502.97
"D","09/25/2023","01",10312.19
"D","09/25/2023","02",9962.85
"D","09/25/2023","03",9761.75
"D","09/25/2023","04",9734.22
"D","09/25/2023","05",9854.6
"D","09/25/2023","06",10057.35
"D","09/25/2023","07",11341.86
"D","09/25/2023","08",12277.22
"D","09/25/2023","09",12680.54
"D","09/25/2023","10",12716.19
"D","09/25/2023","11",12711.56
"D","09/25/2023","12",12719.41
"D","09/25/2023","13",12705.08
"D","09/25/2023","14",12668.33
"D","09/25/2023","15",12619.21
"D","09/25/2023","16",12768.11
"D","09/25/2023","17",13146.3
"D","09/25/2023","18",13732.14
"D","09/25/2023","19",14102.36
"D","09/25/2023","20",13991.0
"D","09/25/2023","21",13321.96
"D","09/25/2023","22",12424.89
"D","09/25/2023","23",11381.14
"D","09/25/2023","24",10676.8
"D","09/26/2023","01",10384.42
"D","09/26/2023","02",10110.49
"D","09/26/2023","03",9892.2
"D","09/26/2023","04",9835.61
"D","09/26/2023","05",10056.93
"D","09/26/2023","06",10261.1
"D","09/26/2023","07",11516.49
"D","09/26/2023","08",12347.16
"D","09/26/2023","09",12400.89
"D","09/26/2023","10",12123.58
"D","09/26/2023","11",11782.28
"D","09/26/2023","12",11332.87
"D","09/26/2023","13",10842.46
"D","09/26/2023","14",10506.79
"D","09/26/2023","15",10426.66
"D","09/26/2023","16",10703.91
"D","09/26/2023","17",11537.29
"D","09/26/2023","18",12716.0
"D","09/26/2023","19",13543.24
"D","09/26/2023","20",13795.81
"D","09/26/2023","21",13181.73
"D","09/26/2023","22",12302.16
"D","09/26/2023","23",11251.87
"D","09/26/2023","24",10331.06
"D","09/27/2023","01",10304.65
"D","09/27/2023","02",9987.71
"D","09/27/2023","03",9786.63
"D","09/27/2023","04",9737.04
"D","09/27/2023","05",9980.12
"D","09/27/2023","06",10560.2
"D","09/27/2023","07",11508.07
"D","09/27/2023","08",12137.22
"D","09/27/2023","09",11502.25
"D","09/27/2023","10",10503.7
"D","09/27/2023","11",9772.98
"D","09/27/2023","12",9296.63
"D","09/27/2023","13",9094.47
"D","09/27/2023","14",9193.85
"D","09/27/2023","15",9507.8
"D","09/27/2023","16",10272.38
"D","09/27/2023","17",11520.0
"D","09/27/2023","18",12851.04
"D","09/27/2023","19",13687.94
"D","09/27/2023","20",13859.19
"D","09/27/2023","21",13220.66
"D","09/27/2023","22",12328.72
"D","09/27/2023","23",11260.74
"D","09/27/2023","24",10320.74
"D","09/28/2023","01",10188.86
"D","09/28/2023","02",9966.08
"D","09/28/2023","03",9760.81
"D","09/28/2023","04",9701.53
"D","09/28/2023","05",9935.45
"D","09/28/2023","06",10390.44
"D","09/28/2023","07",11467.3
"D","09/28/2023","08",12129.18
"D","09/28/2023","09",11814.1
"D","09/28/2023","10",11261.8
"D","09/28/2023","11",10713.94
"D","09/28/2023","12",10179.47
"D","09/28/2023","13",9820.59
"D","09/28/2023","14",9799.9
"D","09/28/2023","15",10094.77
"D","09/28/2023","16",10838.98
"D","09/28/2023","17",11901.42
"D","09/28/2023","18",13045.57
"D","09/28/2023","19",13776.53
"D","09/28/2023","20",13868.13
"D","09/28/2023","21",13253.69
"D","09/28/2023","22",12391.26
"D","09/28/2023","23",11339.66
"D","09/28/2023","24",10399.73
"D","09/29/2023","01",10380.57
"D","09/29/2023","02",10035.82
"D","09/29/2023","03",9844.32
"D","09/29/2023","04",9769.48
"D","09/29/2023","05",9946.84
"D","09/29/2023","06",10353.66
"D","09/29/2023","07",11340.89
"D","09/29/2023","08",12278.88
"D","09/29/2023","09",12726.26
"D","09/29/2023","10",12962.61
"D","09/29/2023","11",13103.02
"D","09/29/2023","12",13102.93
"D","09/29/2023","13",13126.74
"D","09/29/2023","14",13145.14
"D","09/29/2023","15",13069.38
"D","09/29/2023","16",13116.89
"D","09/29/2023","17",13384.56
"D","09/29/2023","18",13689.79
"D","09/29/2023","19",13774.85
"D","09/29/2023","20",13507.54
"D","09/29/2023","21",12905.77
"D","09/29/2023","22",12196.92
"D","09/29/2023","23",11342.35
"D","09/29/2023","24",10485.11
"D","09/30/2023","01",9852.58
"D","09/30/2023","02",9632.45
"D","09/30/2023","03",9524.48
"D","09/30/2023","04",9408.37
"D","09/30/2023","05",9449.64
"D","09/30/2023","06",9714.02
"D","09/30/2023","07",9941.21
"D","09/30/2023","08",10579.61
"D","09/30/2023","09",11239.5
"D","09/30/2023","10",11538.87
"D","09/30/2023","11",11596.15
"D","09/30/2023","12",11338.2
"D","09/30/2023","13",11056.44
"D","09/30/2023","14",11066.15
"D","09/30/2023","15",11190.41
"D","09/30/2023","16",11250.91
"D","09/30/2023","17",11704.96
"D","09/30/2023","18",12347.92
"D","09/30/2023","19",12793.04
"D","09/30/2023","20",12774.14
"D","09/30/2023","21",12298.52
"D","09/30/2023","22",11692.79
"D","09/30/2023","23",10972.38
"D","09/30/2023","24",10232.33
"T","360 lines"
