"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20230601_20230615.csv"
"C","Report for: 06/01/2023 - 06/15/2023"
"C","Report generated: 10/02/2025 10:44:31 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","06/01/2023","01",11091.78
"D","06/01/2023","02",10817.94
"D","06/01/2023","03",10776.39
"D","06/01/2023","04",10648.78
"D","06/01/2023","05",10801.12
"D","06/01/2023","06",10822.28
"D","06/01/2023","07",11093.77
"D","06/01/2023","08",11557.83
"D","06/01/2023","09",11339.53
"D","06/01/2023","10",11063.67
"D","06/01/2023","11",11135.46
"D","06/01/2023","12",11455.15
"D","06/01/2023","13",11942.01
"D","06/01/2023","14",12568.6
"D","06/01/2023","15",13292.28
"D","06/01/2023","16",14281.39
"D","06/01/2023","17",15458.7
"D","06/01/2023","18",16470.48
"D","06/01/2023","19",17060.7
"D","06/01/2023","20",16985.52
"D","06/01/2023","21",16690.79
"D","06/01/2023","22",15823.42
"D","06/01/2023","23",14328.9
"D","06/01/2023","24",12940.54
"D","06/02/2023","01",12222.52
"D","06/02/2023","02",11874.49
"D","06/02/2023","03",11446.42
"D","06/02/2023","04",11212.52
"D","06/02/2023","05",11278.22
"D","06/02/2023","06",11677.53
"D","06/02/2023","07",11993.2
"D","06/02/2023","08",12695.15
"D","06/02/2023","09",12748.0
"D","06/02/2023","10",12778.34
"D","06/02/2023","11",13056.68
"D","06/02/2023","12",13611.85
"D","06/02/2023","13",14256.92
"D","06/02/2023","14",15034.0
"D","06/02/2023","15",15937.86
"D","06/02/2023","16",16827.22
"D","06/02/2023","17",17252.11
"D","06/02/2023","18",17145.69
"D","06/02/2023","19",16750.0
"D","06/02/2023","20",16226.07
"D","06/02/2023","21",15673.42
"D","06/02/2023","22",14754.5
"D","06/02/2023","23",13494.24
"D","06/02/2023","24",12264.07
"D","06/03/2023","01",11318.93
"D","06/03/2023","02",10634.59
"D","06/03/2023","03",10158.07
"D","06/03/2023","04",9964.6
"D","06/03/2023","05",10005.77
"D","06/03/2023","06",9851.58
"D","06/03/2023","07",10117.16
"D","06/03/2023","08",10563.85
"D","06/03/2023","09",11098.86
"D","06/03/2023","10",11357.52
"D","06/03/2023","11",11342.31
"D","06/03/2023","12",11289.4
"D","06/03/2023","13",11115.8
"D","06/03/2023","14",10864.33
"D","06/03/2023","15",11197.09
"D","06/03/2023","16",11078.19
"D","06/03/2023","17",11327.02
"D","06/03/2023","18",11554.2
"D","06/03/2023","19",11750.23
"D","06/03/2023","20",11846.88
"D","06/03/2023","21",11895.29
"D","06/03/2023","22",11628.71
"D","06/03/2023","23",11063.27
"D","06/03/2023","24",10293.35
"D","06/04/2023","01",9687.11
"D","06/04/2023","02",9773.2
"D","06/04/2023","03",9653.36
"D","06/04/2023","04",9546.72
"D","06/04/2023","05",9574.77
"D","06/04/2023","06",9662.69
"D","06/04/2023","07",9769.82
"D","06/04/2023","08",9832.86
"D","06/04/2023","09",9967.93
"D","06/04/2023","10",10023.62
"D","06/04/2023","11",10071.57
"D","06/04/2023","12",10122.42
"D","06/04/2023","13",10130.84
"D","06/04/2023","14",10127.77
"D","06/04/2023","15",10297.7
"D","06/04/2023","16",10644.59
"D","06/04/2023","17",11159.84
"D","06/04/2023","18",11723.14
"D","06/04/2023","19",12155.21
"D","06/04/2023","20",12351.51
"D","06/04/2023","21",12344.38
"D","06/04/2023","22",11809.32
"D","06/04/2023","23",10858.8
"D","06/04/2023","24",9972.12
"D","06/05/2023","01",9673.92
"D","06/05/2023","02",9933.38
"D","06/05/2023","03",9786.11
"D","06/05/2023","04",9775.67
"D","06/05/2023","05",9395.45
"D","06/05/2023","06",10098.6
"D","06/05/2023","07",11041.52
"D","06/05/2023","08",11820.81
"D","06/05/2023","09",11816.72
"D","06/05/2023","10",11418.72
"D","06/05/2023","11",11348.89
"D","06/05/2023","12",11318.74
"D","06/05/2023","13",11278.19
"D","06/05/2023","14",11481.37
"D","06/05/2023","15",11333.68
"D","06/05/2023","16",11349.6
"D","06/05/2023","17",11894.84
"D","06/05/2023","18",12549.26
"D","06/05/2023","19",12980.87
"D","06/05/2023","20",13144.47
"D","06/05/2023","21",13143.39
"D","06/05/2023","22",12525.72
"D","06/05/2023","23",11436.5
"D","06/05/2023","24",10486.86
"D","06/06/2023","01",10377.93
"D","06/06/2023","02",10021.76
"D","06/06/2023","03",10009.65
"D","06/06/2023","04",9973.95
"D","06/06/2023","05",9872.08
"D","06/06/2023","06",10335.23
"D","06/06/2023","07",11086.06
"D","06/06/2023","08",11518.15
"D","06/06/2023","09",11335.5
"D","06/06/2023","10",11066.5
"D","06/06/2023","11",10693.91
"D","06/06/2023","12",10352.66
"D","06/06/2023","13",10261.93
"D","06/06/2023","14",10436.92
"D","06/06/2023","15",10916.62
"D","06/06/2023","16",11778.8
"D","06/06/2023","17",12723.58
"D","06/06/2023","18",13310.02
"D","06/06/2023","19",13385.94
"D","06/06/2023","20",13281.96
"D","06/06/2023","21",13151.91
"D","06/06/2023","22",12525.79
"D","06/06/2023","23",11447.56
"D","06/06/2023","24",10461.26
"D","06/07/2023","01",10359.78
"D","06/07/2023","02",10013.64
"D","06/07/2023","03",10025.04
"D","06/07/2023","04",9985.87
"D","06/07/2023","05",10207.09
"D","06/07/2023","06",10439.24
"D","06/07/2023","07",10921.12
"D","06/07/2023","08",11256.65
"D","06/07/2023","09",11061.84
"D","06/07/2023","10",10766.85
"D","06/07/2023","11",10814.68
"D","06/07/2023","12",11217.12
"D","06/07/2023","13",11676.62
"D","06/07/2023","14",12016.12
"D","06/07/2023","15",12113.89
"D","06/07/2023","16",12275.81
"D","06/07/2023","17",12570.73
"D","06/07/2023","18",13015.82
"D","06/07/2023","19",13149.66
"D","06/07/2023","20",13124.61
"D","06/07/2023","21",13085.85
"D","06/07/2023","22",12494.53
"D","06/07/2023","23",11422.56
"D","06/07/2023","24",10494.82
"D","06/08/2023","01",10345.86
"D","06/08/2023","02",10010.86
"D","06/08/2023","03",9785.72
"D","06/08/2023","04",9718.83
"D","06/08/2023","05",9922.13
"D","06/08/2023","06",10228.06
"D","06/08/2023","07",10924.26
"D","06/08/2023","08",11662.49
"D","06/08/2023","09",11843.32
"D","06/08/2023","10",11690.84
"D","06/08/2023","11",11379.02
"D","06/08/2023","12",10993.96
"D","06/08/2023","13",10921.48
"D","06/08/2023","14",11378.54
"D","06/08/2023","15",11729.41
"D","06/08/2023","16",12111.94
"D","06/08/2023","17",12332.12
"D","06/08/2023","18",12559.25
"D","06/08/2023","19",12749.79
"D","06/08/2023","20",12912.74
"D","06/08/2023","21",13015.68
"D","06/08/2023","22",12539.34
"D","06/08/2023","23",11496.64
"D","06/08/2023","24",10697.61
"D","06/09/2023","01",10212.79
"D","06/09/2023","02",10056.58
"D","06/09/2023","03",9811.75
"D","06/09/2023","04",9964.48
"D","06/09/2023","05",10210.07
"D","06/09/2023","06",10441.68
"D","06/09/2023","07",10752.71
"D","06/09/2023","08",11410.33
"D","06/09/2023","09",11471.8
"D","06/09/2023","10",11019.07
"D","06/09/2023","11",10822.65
"D","06/09/2023","12",10919.49
"D","06/09/2023","13",10818.82
"D","06/09/2023","14",10892.79
"D","06/09/2023","15",10916.39
"D","06/09/2023","16",11272.94
"D","06/09/2023","17",11678.81
"D","06/09/2023","18",12223.09
"D","06/09/2023","19",12463.4
"D","06/09/2023","20",12531.0
"D","06/09/2023","21",12601.04
"D","06/09/2023","22",12213.39
"D","06/09/2023","23",11345.01
"D","06/09/2023","24",10441.07
"D","06/10/2023","01",9910.76
"D","06/10/2023","02",9710.39
"D","06/10/2023","03",9693.52
"D","06/10/2023","04",9563.91
"D","06/10/2023","05",9836.0
"D","06/10/2023","06",9986.05
"D","06/10/2023","07",9712.3
"D","06/10/2023","08",9883.9
"D","06/10/2023","09",9943.48
"D","06/10/2023","10",9772.35
"D","06/10/2023","11",9821.78
"D","06/10/2023","12",9746.77
"D","06/10/2023","13",9826.37
"D","06/10/2023","14",10082.77
"D","06/10/2023","15",9727.31
"D","06/10/2023","16",9922.08
"D","06/10/2023","17",10516.62
"D","06/10/2023","18",11206.61
"D","06/10/2023","19",11989.16
"D","06/10/2023","20",12283.37
"D","06/10/2023","21",12327.67
"D","06/10/2023","22",12074.55
"D","06/10/2023","23",11286.94
"D","06/10/2023","24",10434.97
"D","06/11/2023","01",9920.86
"D","06/11/2023","02",9532.61
"D","06/11/2023","03",9463.28
"D","06/11/2023","04",9648.69
"D","06/11/2023","05",9883.15
"D","06/11/2023","06",10015.11
"D","06/11/2023","07",10034.56
"D","06/11/2023","08",9568.52
"D","06/11/2023","09",9116.25
"D","06/11/2023","10",8698.92
"D","06/11/2023","11",8555.86
"D","06/11/2023","12",8744.92
"D","06/11/2023","13",9132.2
"D","06/11/2023","14",9609.6
"D","06/11/2023","15",10242.3
"D","06/11/2023","16",10974.52
"D","06/11/2023","17",11864.35
"D","06/11/2023","18",13041.19
"D","06/11/2023","19",13894.31
"D","06/11/2023","20",14123.04
"D","06/11/2023","21",14093.26
"D","06/11/2023","22",13600.3
"D","06/11/2023","23",12449.86
"D","06/11/2023","24",11316.63
"D","06/12/2023","01",10514.57
"D","06/12/2023","02",10555.11
"D","06/12/2023","03",10463.15
"D","06/12/2023","04",10590.99
"D","06/12/2023","05",10666.33
"D","06/12/2023","06",11068.05
"D","06/12/2023","07",11541.87
"D","06/12/2023","08",12398.47
"D","06/12/2023","09",12691.45
"D","06/12/2023","10",12476.57
"D","06/12/2023","11",12386.09
"D","06/12/2023","12",12553.55
"D","06/12/2023","13",12809.24
"D","06/12/2023","14",13080.61
"D","06/12/2023","15",13379.21
"D","06/12/2023","16",13819.42
"D","06/12/2023","17",14471.09
"D","06/12/2023","18",15308.35
"D","06/12/2023","19",15671.94
"D","06/12/2023","20",15615.46
"D","06/12/2023","21",15425.13
"D","06/12/2023","22",14692.6
"D","06/12/2023","23",13420.65
"D","06/12/2023","24",12251.65
"D","06/13/2023","01",11809.63
"D","06/13/2023","02",11575.07
"D","06/13/2023","03",11238.86
"D","06/13/2023","04",11083.5
"D","06/13/2023","05",11253.34
"D","06/13/2023","06",11851.94
"D","06/13/2023","07",12399.24
"D","06/13/2023","08",13285.3
"D","06/13/2023","09",13589.94
"D","06/13/2023","10",13658.31
"D","06/13/2023","11",13583.76
"D","06/13/2023","12",13207.3
"D","06/13/2023","13",13019.34
"D","06/13/2023","14",13057.74
"D","06/13/2023","15",13151.33
"D","06/13/2023","16",13627.38
"D","06/13/2023","17",14421.89
"D","06/13/2023","18",15207.19
"D","06/13/2023","19",15585.9
"D","06/13/2023","20",15444.52
"D","06/13/2023","21",15131.62
"D","06/13/2023","22",14360.96
"D","06/13/2023","23",13086.89
"D","06/13/2023","24",11872.57
"D","06/14/2023","01",11812.55
"D","06/14/2023","02",11313.47
"D","06/14/2023","03",11185.52
"D","06/14/2023","04",11066.13
"D","06/14/2023","05",11208.44
"D","06/14/2023","06",11405.84
"D","06/14/2023","07",11511.8
"D","06/14/2023","08",12069.38
"D","06/14/2023","09",11910.25
"D","06/14/2023","10",11644.42
"D","06/14/2023","11",11652.4
"D","06/14/2023","12",11976.24
"D","06/14/2023","13",12395.25
"D","06/14/2023","14",12997.57
"D","06/14/2023","15",13628.28
"D","06/14/2023","16",14180.82
"D","06/14/2023","17",14769.79
"D","06/14/2023","18",15059.62
"D","06/14/2023","19",15002.31
"D","06/14/2023","20",14658.23
"D","06/14/2023","21",14188.21
"D","06/14/2023","22",13630.54
"D","06/14/2023","23",12566.28
"D","06/14/2023","24",11681.88
"D","06/15/2023","01",11202.27
"D","06/15/2023","02",10739.73
"D","06/15/2023","03",10653.64
"D","06/15/2023","04",10521.13
"D","06/15/2023","05",10677.88
"D","06/15/2023","06",11201.51
"D","06/15/2023","07",11735.62
"D","06/15/2023","08",11963.92
