"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20250401_20250415.csv"
"C","Report for: 04/01/2025 - 04/15/2025"
"C","Report generated: 10/01/2025 16:36:56 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","04/01/2025","01",10262.37
"D","04/01/2025","02",9842.31
"D","04/01/2025","03",9846.93
"D","04/01/2025","04",9838.58
"D","04/01/2025","05",10121.19
"D","04/01/2025","06",10898.83
"D","04/01/2025","07",12169.33
"D","04/01/2025","08",13068.34
"D","04/01/2025","09",12739.42
"D","04/01/2025","10",11261.98
"D","04/01/2025","11",9480.9
"D","04/01/2025","12",8472.19
"D","04/01/2025","13",8154.8
"D","04/01/2025","14",7908.57
"D","04/01/2025","15",7860.18
"D","04/01/2025","16",8355.08
"D","04/01/2025","17",9695.56
"D","04/01/2025","18",11251.98
"D","04/01/2025","19",13042.9
"D","04/01/2025","20",13831.81
"D","04/01/2025","21",13793.66
"D","04/01/2025","22",13255.63
"D","04/01/2025","23",12353.01
"D","04/01/2025","24",11668.11
"D","04/02/2025","01",11275.68
"D","04/02/2025","02",11005.6
"D","04/02/2025","03",10898.77
"D","04/02/2025","04",10972.78
"D","04/02/2025","05",11351.32
"D","04/02/2025","06",12138.23
"D","04/02/2025","07",13464.4
"D","04/02/2025","08",13647.14
"D","04/02/2025","09",12319.35
"D","04/02/2025","10",10593.8
"D","04/02/2025","11",9468.76
"D","04/02/2025","12",8871.26
"D","04/02/2025","13",8563.57
"D","04/02/2025","14",8780.5
"D","04/02/2025","15",8592.46
"D","04/02/2025","16",9528.82
"D","04/02/2025","17",10957.16
"D","04/02/2025","18",13130.26
"D","04/02/2025","19",14104.28
"D","04/02/2025","20",14501.41
"D","04/02/2025","21",14187.38
"D","04/02/2025","22",13601.81
"D","04/02/2025","23",12601.6
"D","04/02/2025","24",11741.37
"D","04/03/2025","01",11184.51
"D","04/03/2025","02",11022.44
"D","04/03/2025","03",10832.77
"D","04/03/2025","04",10820.06
"D","04/03/2025","05",11086.74
"D","04/03/2025","06",11750.16
"D","04/03/2025","07",13039.04
"D","04/03/2025","08",13955.45
"D","04/03/2025","09",14301.78
"D","04/03/2025","10",14456.26
"D","04/03/2025","11",14316.08
"D","04/03/2025","12",13744.77
"D","04/03/2025","13",13362.48
"D","04/03/2025","14",12865.64
"D","04/03/2025","15",12797.1
"D","04/03/2025","16",12693.49
"D","04/03/2025","17",12973.24
"D","04/03/2025","18",13466.56
"D","04/03/2025","19",13712.33
"D","04/03/2025","20",14000.56
"D","04/03/2025","21",13654.16
"D","04/03/2025","22",12917.76
"D","04/03/2025","23",11897.93
"D","04/03/2025","24",10928.74
"D","04/04/2025","01",10286.61
"D","04/04/2025","02",9858.28
"D","04/04/2025","03",9609.53
"D","04/04/2025","04",9521.66
"D","04/04/2025","05",9722.46
"D","04/04/2025","06",10463.76
"D","04/04/2025","07",11777.02
"D","04/04/2025","08",12424.75
"D","04/04/2025","09",12280.46
"D","04/04/2025","10",11461.25
"D","04/04/2025","11",10258.83
"D","04/04/2025","12",9043.77
"D","04/04/2025","13",8430.56
